,umap1,umap2,Leiden,color
si:dkeyp-100a1.6,12.964159,13.387666,6,#e377c2
cep85l,8.62889,15.942506,0,#1f77b4
epha2a,6.7451453,15.928068,0,#1f77b4
rpl8,6.443964,17.449362,11,#98df8a
hs2st1b,7.502085,15.3852625,0,#1f77b4
nectin3b,7.5984173,15.617625,0,#1f77b4
ccne2,6.8519654,16.354229,11,#98df8a
rgs20,6.283247,11.516087,1,#ff7f0e
ccser2b,8.15962,14.217476,0,#1f77b4
gna12a,8.782363,13.719805,3,#d62728
fam214a,8.2976265,14.899262,0,#1f77b4
gpr78a,5.7493596,8.541341,7,#b5bd61
sema3b,7.4893584,13.049217,9,#aec7e8
vegfab,5.464621,12.4252205,2,#279e68
smchd1,6.719788,8.398731,7,#b5bd61
apela,10.480707,16.044533,4,#aa40fc
CABZ01069436.1,8.3786,10.824097,9,#aec7e8
dlx2a,5.5718246,11.787813,2,#279e68
wnt7ba,6.341971,13.068617,2,#279e68
zgc:56585,10.390881,16.237238,4,#aa40fc
cbx3a,7.3625026,17.41461,11,#98df8a
si:dkey-32n7.9,9.691917,8.427205,10,#ffbb78
tecpr1b,12.744594,13.181806,6,#e377c2
otpb,4.6550145,11.157086,2,#279e68
RALGDS,6.615416,8.508426,7,#b5bd61
net1,8.549305,15.753151,0,#1f77b4
trarg1a,3.4362988,12.110474,1,#ff7f0e
etv1,11.518643,14.039179,6,#e377c2
slc7a8a,3.374919,12.690714,1,#ff7f0e
dkk1b,10.576611,16.108498,4,#aa40fc
spsb3b,8.831831,10.909887,8,#17becf
tuba8l3,4.6242895,11.965455,1,#ff7f0e
zmat3,3.009493,11.839071,1,#ff7f0e
dclk1b,3.2902424,12.23059,1,#ff7f0e
slc16a9a,13.371714,14.2240715,6,#e377c2
CU633479.5,11.6402445,10.9398575,5,#8c564b
prss12,10.074741,13.469844,1,#ff7f0e
esama,7.100672,7.73079,7,#b5bd61
ttc6,9.232082,13.149529,3,#d62728
abtb2a,11.288331,11.89983,5,#8c564b
irf2,6.0484133,8.497001,7,#b5bd61
lhx2b,5.775039,12.541878,2,#279e68
lmod1a,10.448851,11.51322,5,#8c564b
colq,12.142457,11.171223,5,#8c564b
eva1ba,9.086989,15.355117,4,#aa40fc
sccpdha.1,8.961899,6.854424,6,#e377c2
gabra4,8.330532,10.798907,8,#17becf
dok4,9.291738,13.972338,3,#d62728
or102-2,10.694081,8.541707,8,#17becf
pip5k1ba,6.670102,8.734104,7,#b5bd61
tbx1,9.218108,12.088318,3,#d62728
src,10.477872,12.075288,5,#8c564b
macc1,11.878577,13.422138,6,#e377c2
sp5l,10.176542,16.455873,4,#aa40fc
aqp8a.2,5.743847,8.332239,7,#b5bd61
edil3a,6.9127584,12.766392,3,#d62728
kcnip1b,8.57496,12.063193,3,#d62728
mgat5,7.8648205,14.425869,0,#1f77b4
svila,10.349597,11.71597,5,#8c564b
cd9b,10.273317,14.669477,4,#aa40fc
adrb2b,11.580956,10.946731,5,#8c564b
cxcl14,6.2705913,13.311128,2,#279e68
plekhg4,7.9876056,15.820558,0,#1f77b4
