celsr1b	ZDB-GENE-050823-4
znf1127	
si:cabz01054394.6	ZDB-GENE-161017-112
sh2d5	ZDB-GENE-050327-67
CR384101.1	
BX927282.2	
si:dkey-23a13.2	ZDB-GENE-160113-96
illr2	ZDB-GENE-050311-3
rrp8	ZDB-GENE-030131-8898
si:dkey-11o18.5	ZDB-GENE-091204-110
FUT9	
map3k8	ZDB-GENE-100316-8
CU896602.4	
CR932999.1	
nop53	ZDB-GENE-051120-21
tm2d1	ZDB-GENE-050208-580
BX649556.1	
BX323590.3	
CR936977.1	
FO393424.4	
CU571061.1	
dre-mir-17a-2	
FP016247.2	
snapc4	ZDB-GENE-030131-5794
nrxn1b	ZDB-GENE-070206-3
gfpt2	ZDB-GENE-071113-1
CT027807.1	
six5	ZDB-GENE-010201-3
rps6	ZDB-GENE-040801-8
BX000447.1	
smtnl1	ZDB-GENE-050306-23
pik3cg	ZDB-GENE-040426-2532
si:ch211-236p5.2	ZDB-GENE-081028-33
cntnap5a	ZDB-GENE-081105-126
rnasel2	ZDB-GENE-050208-420
CU329666.1	
wdr20a	ZDB-GENE-120406-3
si:ch1073-272o11.3	
chrnb3b	ZDB-GENE-030102-4
klf2b	ZDB-GENE-011109-2
znf407	
slc5a3b	ZDB-GENE-070912-43
ppil3	ZDB-GENE-040625-159
fn1b	ZDB-GENE-030131-6545
tnpo1	ZDB-GENE-080819-1
hoxa9b	ZDB-GENE-000823-2
AL928675.1	
rx3	ZDB-GENE-990415-238
BX649394.4	
BX465195.8	
galcb	ZDB-GENE-040426-2115
tmem238a	ZDB-GENE-060503-785
slc6a2	ZDB-GENE-110408-4
si:ch211-270n8.1	
LO018202.1	
arl5a	ZDB-GENE-040718-28
CABZ01077555.1	
dre-mir-2196	
setd1a	ZDB-GENE-080521-4
si:ch211-208g24.8	
trim35-28	ZDB-GENE-071004-19
CU929568.1	
dhx16	ZDB-GENE-030131-8589
eef2a.1	ZDB-GENE-050522-500
cyp2k17	ZDB-GENE-070424-41
pimr5	
zbtb1	ZDB-GENE-041001-126
hspb8	ZDB-GENE-030131-2480
golga1	ZDB-GENE-040426-1237
CU062633.1	
sprn2	ZDB-GENE-041221-1
BX664721.1	
aurka	ZDB-GENE-040801-161
