TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
erfl1_sulf1,0.0,0.0,0.0,0.02338272,0.0,0.0034884484,erfl1,erf,16hpf
erfl1_cdh11,0.0,0.0,0.0,-0.02587721,0.0,-0.0051919622,erfl1,erf,16hpf
trps1_cx43.4,0.0,0.0,0.0,0.02775162,0.014913567,0.0,trps1,trp,16hpf
trps1_fgfr1b,0.0,0.0,0.0,0.03218983,0.014061004,0.0,trps1,trp,16hpf
tp63_pcna,0.0,0.0,0.024567282,0.0,0.012453425,0.0,tp63,tp,10hpf
tp63_szl,0.03204141,0.03406469,0.0,0.0,0.0,0.0,tp63,tp,10hpf
nfatc1_prickle1b,0.0,0.0,0.0,0.019930152,0.0,0.00452959,nfatc1,nfa,16hpf
nfatc3a_col11a1a,0.0,0.0,0.030305529,0.0,-0.015603408,0.0,nfatc3a,nfa,14hpf
vax2_cntfr,0.0,0.0,0.0,0.0,0.011778464,-0.00352391,vax2,vax,19hpf
vax1_mki67,0.0,0.0,0.0,0.0,0.013928827,0.004516474,vax1,vax,19hpf
pknox2_notch1b,0.0,0.0,0.0,0.027039932,0.011451466,0.0,pknox2,pkn,19hpf
pknox2_nucks1a,0.0,-0.021883193,0.0,0.0,0.014424142,0.008750785,pknox2,pkn,19hpf
tfdp2_faua,0.0,0.024116572,0.0266235,0.0,0.0,0.0,tfdp2,tfd,12hpf
tfdp2_tenm4,0.0,0.043297168,0.027231196,0.0,0.0,0.0,tfdp2,tfd,12hpf
tfdp2_msgn1,0.0,-0.03222024,-0.027005523,0.0,0.0,0.0,tfdp2,tfd,12hpf
noto_fn1b,0.0,0.0,-0.02707038,-0.026741972,0.0,0.0,noto,not,16hpf
noto_tbx16,-0.04087118,-0.022206591,-0.036049105,-0.036126748,-0.024220303,0.0,noto,not,16hpf
noto_sulf1,0.035146806,0.022274349,0.0,0.024189632,0.019897444,0.0,noto,not,16hpf
tfap2c_msgn1,0.0,0.0,0.0,0.02060749,-0.015714906,0.0,tfap2c,tfa,16hpf
tfap2a_cfl1,0.025239201,0.0,0.02271472,0.0,0.0,0.0,tfap2a,tfa,14hpf
tfap2a_stm,0.0,0.0,0.04024245,0.04384144,0.026067045,0.0,tfap2a,tfa,14hpf
mef2d_epha4a,0.0,0.026006801,0.02292636,0.0,0.0,0.0,mef2d,mef,12hpf
mef2d_rxraa,0.0,0.026371928,0.0350642,0.0,0.0,0.0,mef2d,mef,12hpf
mef2d_rbm24a,0.0,0.0,0.0,0.021288423,0.015124253,0.0,mef2d,mef,12hpf
neurod4_hes6,0.0,0.0,0.029923344,0.043979067,-0.012236975,0.0,neurod4,neu,14hpf
neurod4_apoc1,0.0,0.0,0.056523323,0.024905095,0.0,0.0,neurod4,neu,14hpf
neurod4_sulf1,0.0,-0.022480162,0.0,0.0,-0.01765764,0.0,neurod4,neu,14hpf
lhx2b_lrrc17,0.0,0.0,0.0,0.0,-0.011030925,0.003544052,lhx2b,lhx,19hpf
lhx4_si:dkey-239j18.2,0.0,0.0,0.026954813,0.0,-0.040320955,0.0,lhx4,lhx,14hpf
lhx9_cirbpa,0.0,-0.021643464,0.0,0.0,0.0,0.0085681705,lhx9,lhx,12hpf
tcf7l2_chl1a,0.0,0.0,0.0,0.026593478,0.013936403,0.0,tcf7l2,tcf,16hpf
tcf7l2_gli2a,0.0,0.0,0.0,0.02965351,0.022306288,0.0,tcf7l2,tcf,16hpf
tcf7l2_zbtb16a,0.0,0.0,0.0,0.050789766,0.026212879,0.0,tcf7l2,tcf,16hpf
gsx2_si:ch73-281n10.2,0.0,0.0,0.0,0.0,0.01329628,0.0035391452,gsx2,gsx,19hpf
gsx2_cirbpa,0.0,0.0,0.0,0.0,0.016117996,0.0037313162,gsx2,gsx,19hpf
gsx2_rps20,0.0,0.0,0.0,0.0,0.021386847,0.004709248,gsx2,gsx,19hpf
six6a_hspa8,0.0,0.0,-0.029777007,0.0,0.0,0.003717962,six6a,six,14hpf
six6a_apoeb,0.0,0.0,-0.045519218,0.0,0.029200293,0.0,six6a,six,14hpf
six6a_tenm4,0.0,0.0,0.0,0.0,0.039578542,0.0039303973,six6a,six,14hpf
six1b_id1,0.02862167,0.021637116,0.0,0.0,0.0,0.0,six1b,six,10hpf
lbx1b_cx43.4,0.0,0.027660841,0.0,0.0,0.013432834,0.0,lbx1b,lbx,12hpf
lbx1b_gdf11,0.0,0.034364786,-0.02381616,0.0,0.0,0.0,lbx1b,lbx,12hpf
lbx2_msgn1,0.033457298,0.0,0.0,0.027496587,0.0,0.0,lbx2,lbx,10hpf
