TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
ets2_rack1,0.0,0.0,-0.030631434,0.0,0.0,0.0,ets2,ets,14hpf
ets2_apoeb,0.0,0.0,0.08877484,0.0,0.0,0.0,ets2,ets,14hpf
samd11_ctdp1,0.0,0.0,0.0,0.031749293,0.0,0.0,samd11,sam,16hpf
samd11_fzd10,0.0,0.0,0.0,-0.032258276,0.0,0.0,samd11,sam,16hpf
zeb1a_fn1b,0.027798226,0.0,0.0,0.0,0.0,0.0,zeb1a,zeb,10hpf
zeb1a_zbtb16a,0.036447305,0.0,0.0,0.0,0.0,0.0,zeb1a,zeb,10hpf
zgc:101100_cd81a,0.0,0.0,0.0,0.0,0.0,-0.010686426,zgc:101100,zgc,24hpf
zgc:101100_prickle1b,0.0,0.0,0.0,0.0,0.0,-0.014506273,zgc:101100,zgc,24hpf
hnf1ba_her1,0.026909089,0.0,0.0,0.0,0.0,0.0,hnf1ba,hnf,10hpf
hnf1ba_metap2b,0.030710692,0.0,0.0,0.0,0.0,0.0,hnf1ba,hnf,10hpf
nhlh2_hoxb6b,0.0,0.0,0.0,0.033109188,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_zbtb16a,0.0,0.0,0.0,0.04196439,0.0,0.0,nhlh2,nhl,16hpf
mybl1_serbp1a,0.0,0.0,0.0,-0.032767802,0.0,0.0,mybl1,myb,16hpf
mybl1_nucks1a,0.0,0.0,0.0,-0.0497904,0.0,0.0,mybl1,myb,16hpf
bbx_serpinh1b,0.0,0.0,0.030271187,0.0,0.0,0.0,bbx,bbx,14hpf
bbx_apoc1,0.0,0.0,-0.074624844,0.0,0.0,0.0,bbx,bbx,14hpf
LIN28A_efnb2b,0.0,0.0,0.0,0.0,0.01930764,0.0,LIN28A,LIN,19hpf
LIN28A_col11a1a,0.0,0.0,0.0,0.0,0.02406361,0.0,LIN28A,LIN,19hpf
tbr1b_apoc1,0.0,0.0,0.0,0.0,0.02069219,0.0,tbr1b,tbr,19hpf
tbr1b_apoeb,0.0,0.0,0.0,0.0,0.02342154,0.0,tbr1b,tbr,19hpf
srebf1_apoeb,0.0,0.0,0.058022007,0.0,0.0,0.0,srebf1,sre,12hpf
srebf1_cdx4,0.0,0.025641378,0.0,0.0,0.0,0.0,srebf1,sre,12hpf
pitx3_he1.1,0.0,0.0,0.0,0.0,-0.020082267,0.0,pitx3,pit,12hpf
pitx3_rps7,0.0,0.02183914,0.0,0.0,0.0,0.0,pitx3,pit,12hpf
kdm2bb_cx43.4,0.0,0.0,0.04037982,0.0,0.0,0.0,kdm2bb,kdm,14hpf
kdm2bb_rps26l,0.0,0.0,0.3439935,0.0,0.0,0.0,kdm2bb,kdm,14hpf
dmbx1b_he1.1,0.0,0.0,0.0,0.0,0.04671043,0.0,dmbx1b,dmb,19hpf
dmbx1a_prickle1b,0.0,0.0,-0.02947732,0.0,0.0,0.0,dmbx1a,dmb,14hpf
grhl2a_cx43.4,0.0,0.0,0.0,0.0,0.026004627,0.0,grhl2a,grh,19hpf
grhl2a_ncam1a,0.0,0.0,0.0,0.0,0.028043848,0.0,grhl2a,grh,19hpf
grhl2a_adgrv1,0.0,0.0,0.0,0.0,0.017244956,0.0,grhl2a,grh,19hpf
bach2b_tenm4,0.0,0.0,0.0,0.035827965,0.0,0.0,bach2b,bac,16hpf
bach2b_efnb2b,0.0,0.0,0.0,0.079738684,0.0,0.0,bach2b,bac,16hpf
bach2b_meox1,0.0,0.0,0.0,-0.044047806,0.0,0.0,bach2b,bac,16hpf
