TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
osr1_zgc:174855,0.0,0.019345375,0.0,0.0,0.0,0.0,osr1,osr,12hpf
osr1_nucks1a,0.0,0.02200847,0.0,0.0,0.0,0.0,osr1,osr,12hpf
bbx_id1,0.0,0.0,0.022200868,0.0,0.0,0.0,bbx,bbx,14hpf
bbx_pax3a,0.0,0.0,0.022882385,0.0,0.0,0.0,bbx,bbx,14hpf
FQ377628.1_serbp1a,0.0,0.0,0.0,0.0,0.0,0.020295735,FQ377628.1,FQ,24hpf
FQ377628.1_chl1a,0.0,0.0,0.0,0.0,0.0,0.024899788,FQ377628.1,FQ,24hpf
si:ch211-145o7.3_oc90,0.0,0.0,0.0,0.0,0.02498836,0.0,si:ch211-145o7.3,si,19hpf
si:dkey-43p13.5_fn1b,0.0,0.0,0.027029341,0.0,0.0,0.0,si:dkey-43p13.5,si,14hpf
zgc:101100_ncl,0.0,0.0,0.0,0.0,0.0,0.023914242,zgc:101100,zgc,12hpf
zgc:101100_pcna,0.0,0.025624886,0.0,0.0,0.0,0.0,zgc:101100,zgc,12hpf
vsx1_zgc:174855,0.0,0.0,-0.022593433,0.0,0.0,0.0,vsx1,vsx,14hpf
vsx1_alcamb,0.0,0.0,-0.029466601,0.0,0.0,0.0,vsx1,vsx,14hpf
kdm2bb_hmgn6,0.0,0.0,0.020867398,0.0,0.0,0.0,kdm2bb,kdm,14hpf
kdm2bb_rps26l,0.0,0.0,0.17734845,0.0,0.0,0.0,kdm2bb,kdm,14hpf
arntl1b_ptges3b,-0.023364853,0.0,0.0,0.0,0.0,0.0,arntl1b,arn,10hpf
arntl1b_pcdh19,0.023523413,0.0,0.0,0.0,0.0,0.0,arntl1b,arn,10hpf
grhl2a_rxraa,0.0,0.0,0.0,0.0,-0.023496894,0.0,grhl2a,grh,19hpf
grhl2b_cx43.4,-0.022776166,0.0,0.0,0.0,0.0,0.0,grhl2b,grh,10hpf
gfi1b_tenm4,0.0,0.0,0.0,-0.026695522,0.0,0.0,gfi1b,gfi,16hpf
gfi1b_kirrel3l,0.0,0.0,0.0,0.035486333,0.0,0.0,gfi1b,gfi,16hpf
mespab_fgfr3,0.0,0.0,0.0,0.0,0.024313929,0.0,mespab,mes,16hpf
mespab_dacha,0.0,0.0,0.0,-0.032686755,0.0,0.0,mespab,mes,16hpf
LIN28A_col11a1a,0.0,0.0,0.0,0.0,0.032447334,0.0,LIN28A,LIN,19hpf
LIN28A_adamts3,0.0,0.0,0.0,0.0,0.049740124,0.0,LIN28A,LIN,19hpf
tbr1b_chl1a,0.0,0.0,0.0,0.0,0.029925644,0.0,tbr1b,tbr,14hpf
tbr1b_ntn1a,0.0,0.0,0.022171218,0.0,0.0,0.0,tbr1b,tbr,14hpf
tbr1b_apoeb,0.0,0.0,-0.029938405,0.0,0.0,0.0,tbr1b,tbr,14hpf
atf3_rpl12,0.0,0.0,0.0,0.0,0.0,0.020457478,atf3,atf,24hpf
atf3_sox11a,0.0,0.0,0.0,0.0,0.0,0.022034468,atf3,atf,24hpf
atf3_eif5a,0.0,0.0,0.0,0.0,0.0,0.026526615,atf3,atf,24hpf
nanog_rpl19,0.0,0.0,0.02257727,0.0,0.0,0.0,nanog,nan,14hpf
nanog_rpl5b,0.0,0.0,0.023263711,0.0,0.0,0.0,nanog,nan,14hpf
nanog_rpl8,0.0,0.0,0.021768311,0.0,0.0,0.0,nanog,nan,14hpf
srfa_efnb3b,0.0,0.0,0.0,0.0,0.0,0.031115774,srfa,srf,24hpf
srfa_adamts3,0.0,0.0,0.0,0.0,0.0,0.033652395,srfa,srf,24hpf
srfa_pcdh19,0.0,0.0,0.0,0.0,0.0,0.044920444,srfa,srf,24hpf
arxb_marcksl1b,0.0,0.0,0.0,0.0,0.0,-0.022146873,arxb,arx,24hpf
arxb_mdkb,0.0,0.0,0.0,0.0,0.0,-0.025591124,arxb,arx,24hpf
arxb_tmsb4x,0.0,0.019489655,0.0,0.0,0.0,0.0,arxb,arx,24hpf
srebf1_rpl8,0.0,0.0,-0.021414934,0.0,0.0,0.0,srebf1,sre,14hpf
srebf1_rps4x,0.0,0.0,-0.025558332,0.0,0.0,0.0,srebf1,sre,14hpf
srebf1_apoeb,0.0,0.0,-0.038306195,0.0,0.0,0.0,srebf1,sre,14hpf
srebf1_nectin1b,0.0,0.022115784,0.0,0.0,0.0,0.0,srebf1,sre,14hpf
pitx3_pcna,0.0,0.0,0.0,0.0,0.0,0.024254307,pitx3,pit,16hpf
pitx3_rnf220a,0.0,0.0,0.0,-0.029835144,0.0,0.0,pitx3,pit,16hpf
pitx3_cntfr,0.0,0.0,0.0,-0.033550806,0.0,0.0,pitx3,pit,16hpf
pitx2_zgc:174855,0.0,0.0231231,0.0,0.0,0.0,0.0,pitx2,pit,12hpf
otpa_nap1l1,0.0,0.0,0.0,0.0,0.0,0.02214606,otpa,otp,24hpf
otpa_marcksl1b,0.0,0.0,0.0,0.0,0.0,0.022196062,otpa,otp,24hpf
otpa_si:ch73-281n10.2,0.0,0.0,0.0,0.0,0.0,0.021959601,otpa,otp,24hpf
otpa_npm1a,0.0,0.0,0.0,0.0,0.0,0.020378275,otpa,otp,24hpf
ar_rpsa,0.0,0.0,0.0,0.0,0.0,-0.022484573,ar,ar,16hpf
ar_alcamb,0.0,0.027205944,0.0,0.0,0.0,0.0,ar,ar,16hpf
ar_hs6st1a,0.0,0.0,0.0,0.031246055,0.0,0.0,ar,ar,16hpf
ar_ntn1a,0.0,0.0,0.0,-0.039386787,0.0,0.0,ar,ar,16hpf
eomesa_ek1,0.0,0.0,0.0,0.03489481,0.0,0.0,eomesa,eom,16hpf
eomesa_cdh11,0.0,0.0,0.0,0.044751603,0.0,0.0,eomesa,eom,16hpf
eomesa_agrn,0.0,0.0,0.0,-0.027272139,0.0,0.0,eomesa,eom,16hpf
eomesa_zbtb16a,0.0,0.0,0.0,-0.03088598,0.0,0.0,eomesa,eom,16hpf
cebpb_rnf220a,0.0,0.0,0.0,0.0,0.0,-0.019814631,cebpb,ceb,24hpf
cebpd_tenm4,0.0,0.0,0.0,0.0,0.0,-0.027169934,cebpd,ceb,24hpf
cebpb_apoeb,0.0,0.0,0.020772744,0.0,0.0,0.0,cebpb,ceb,24hpf
cebpb_apoc1,0.0,0.0,0.0,0.0,0.0,0.03774823,cebpb,ceb,24hpf
cebpa_cntfr,0.0,0.0,0.0,0.03137475,0.0,0.0,cebpa,ceb,16hpf
hmx2_sox21a,0.0,0.0,0.0,0.0,0.0,0.024360582,hmx2,hmx,24hpf
hmx2_rnf220a,0.0,0.0,0.0,0.0,0.0,0.025194438,hmx2,hmx,24hpf
hmx2_dkc1,0.0,0.0,0.0,0.0,0.0,0.026544355,hmx2,hmx,24hpf
hmx2_nop56,0.0,0.0,0.0,0.0,0.0,0.046821598,hmx2,hmx,24hpf
hmx2_pcna,0.0,0.0,0.0,0.0,0.0,-0.022775084,hmx2,hmx,24hpf
ets2_tmsb4x,0.0,0.0,0.025130365,0.0,0.0,0.0,ets2,ets,14hpf
ets2_rps9,0.0,0.0,0.027643327,0.0,0.0,0.0,ets2,ets,14hpf
ets2_mcm2,0.0,0.0,0.02156688,0.0,0.0,0.0,ets2,ets,14hpf
ets2_apoeb,0.0,0.0,0.021788491,0.0,0.0,0.0,ets2,ets,14hpf
