TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
vsx1_dynll1,0.0,0.0,0.026146812,0.0,0.0,0.0,vsx1,vsx,14hpf
vsx1_nectin1b,0.0,0.0,-0.045901082,0.0,0.0,0.0,vsx1,vsx,14hpf
grhl2a_ncam1a,0.0,0.0,0.0,0.0,0.029437335,0.0,grhl2a,grh,19hpf
grhl2b_cx43.4,-0.024948202,0.0,0.0,0.0,0.0,0.0,grhl2b,grh,10hpf
bbx_notch1b,0.0,0.0,0.029888483,0.0,0.0,0.0,bbx,bbx,14hpf
bbx_syncrip,0.0,0.0,0.04793874,0.0,0.0,0.0,bbx,bbx,14hpf
bcl11aa_tmsb4x,0.0,0.0,0.0,0.0,0.0,-0.016854413,bcl11aa,bcl,24hpf
bcl11aa_eef1a1l1,0.0,0.0,0.0,0.0,0.0,-0.019298261,bcl11aa,bcl,24hpf
zeb1a_meis3,0.021927783,0.0,0.0,0.0,0.0,0.0,zeb1a,zeb,10hpf
zeb1a_ripply1,0.024088662,0.0,0.0,0.0,0.0,0.0,zeb1a,zeb,10hpf
atf3_nucks1a,0.0,0.0,0.0,0.0,0.0,0.017759884,atf3,atf,24hpf
atf3_cycsb,0.0,0.0,0.0,0.0,0.0,0.017903645,atf3,atf,24hpf
stat5a_mfap2,0.0,0.0,0.0,0.0,0.0,0.021958608,stat5a,sta,19hpf
stat5a_dmrt2a,0.0,0.0,0.0,0.0,-0.04390649,0.0,stat5a,sta,19hpf
tbr1b_apoc1,0.0,0.0,0.0,0.0,0.025857775,0.0,tbr1b,tbr,19hpf
tbr1b_apoeb,0.0,0.0,0.0,0.0,0.025873503,0.0,tbr1b,tbr,19hpf
arxb_msna,0.020405844,0.0,0.0,0.0,0.0,0.0,arxb,arx,10hpf
arxb_ubc,0.023865579,0.0,0.0,0.0,0.0,0.0,arxb,arx,10hpf
dnmt1_nasp,0.0,0.0,0.027080037,0.0,0.0,0.0,dnmt1,dnm,14hpf
dnmt1_mdka,0.0,0.0,0.09134955,0.0,0.0,0.0,dnmt1,dnm,14hpf
srfa_itga5,0.0,0.0,0.0,0.0,0.0,0.017558431,srfa,srf,24hpf
srfa_cnbpb,0.0,0.0,0.0,0.0,0.0,0.01765877,srfa,srf,24hpf
osr2_nucks1a,0.0,0.021627344,0.0,0.0,0.0,0.0,osr2,osr,12hpf
osr1_syncrip,0.022710752,0.0,0.0,0.0,0.0,0.0,osr1,osr,10hpf
cebpd_nucks1a,0.0,0.0,0.0,0.0,0.0,-0.018086413,cebpd,ceb,24hpf
cebpd_apoeb,0.0,0.0,0.0,0.0,0.0,-0.02420537,cebpd,ceb,24hpf
cebpb_hspe1,0.0,0.0,0.0,0.0,0.0,0.01832578,cebpb,ceb,24hpf
hnf4g_rpl4,-0.020389223,0.0,0.0,0.0,0.0,0.0,hnf4g,hnf,10hpf
hnf4g_apoc1,-0.024135698,0.0,0.0,0.0,0.0,0.0,hnf4g,hnf,10hpf
hnf1bb_ncl,0.019949336,0.0,0.0,0.0,0.0,0.0,hnf1bb,hnf,10hpf
bach2a_rplp0,0.0,0.0,0.0,0.0,0.0,-0.019572085,bach2a,bac,24hpf
bach2a_apoeb,0.0,0.0,0.0,0.0,0.0,-0.03135285,bach2a,bac,24hpf
bach2b_meox1,0.0,0.0,0.0,-0.045820672,0.0,0.0,bach2b,bac,16hpf
srebf1_cdx4,0.0,0.024030847,0.0,0.0,0.0,0.0,srebf1,sre,12hpf
srebf1_nectin1b,0.0,0.04271357,0.0,0.0,0.0,0.0,srebf1,sre,12hpf
srebf1_hnrnpaba,0.0,0.0,0.037932683,0.0,0.0,0.0,srebf1,sre,12hpf
ets2_akap12b,0.0,0.0,0.028930465,0.0,0.0,0.0,ets2,ets,14hpf
ets2_apoeb,0.0,0.0,0.029632758,0.0,0.0,0.0,ets2,ets,14hpf
