TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
trps1_fgfr1b,0.0,0.0,0.0,0.045231294,0.059076965,0.0,trps1,trp,16hpf
trps1_cirbpa,0.0,0.0,0.0,0.058333293,-0.025859613,0.0,trps1,trp,16hpf
tfap2c_stm,0.0,0.0,0.0,0.11100898,0.024444008,0.0,tfap2c,tfa,16hpf
tfap2a_stm,0.0,0.0,0.034496013,0.0,-0.023888964,0.0,tfap2a,tfa,14hpf
en2b_rpl13a,0.0,0.0,0.038330767,0.0,0.0,-0.019474316,en2b,en,14hpf
en2b_rpl21,0.0,0.025609387,0.029204965,0.0,0.0,0.0,en2b,en,14hpf
six3b_hspa8,0.029872179,0.0,0.0,0.0,0.0,0.025560819,six3b,six,10hpf
six3b_hspb1,0.04678895,0.024828035,0.0,0.0,0.0,0.0,six3b,six,10hpf
twist1b_nop58,0.0,0.0,0.0,0.0,-0.02753274,-0.03442933,twist1b,twi,19hpf
twist2_pmp22a,0.0,0.0,0.0,0.0,0.032651722,0.028683772,twist2,twi,19hpf
twist1a_cirbpa,0.0,0.0,0.0,0.03410119,0.0,-0.03090037,twist1a,twi,16hpf
wt1a_fgfr2,0.0,0.0,0.0,0.029665604,0.032349367,0.0,wt1a,wt,19hpf
wt1a_cx43.4,0.0,0.0,0.0,-0.033705242,0.030850193,0.0,wt1a,wt,19hpf
wt1a_slc6a9,0.0,0.0,0.0,0.0,-0.023880944,0.02319069,wt1a,wt,19hpf
tead3b_gli2a,0.0,0.0,0.0,0.03770802,0.04017742,0.0,tead3b,tea,16hpf
tead1b_tenm4,0.0,0.02415199,0.043243263,0.06419193,0.0,0.0,tead1b,tea,12hpf
tead1b_fgfr2,0.0,0.024956362,0.03432146,0.039957907,0.0,0.0,tead1b,tea,12hpf
pnx_dla,0.0,0.0,0.0,0.03483309,0.02433284,0.0,pnx,pnx,10hpf
pnx_epha2a,0.025046855,0.0,0.0,0.030669678,0.0,0.0,pnx,pnx,10hpf
pnx_alcamb,0.041153602,0.041143548,0.02751402,0.0,0.0,0.0,pnx,pnx,10hpf
pknox2_sox6,0.0,0.0,0.0,0.031680435,0.023805464,0.020460442,pknox2,pkn,16hpf
pknox2_pax3a,0.0,0.0,0.0,0.04042088,0.02612485,0.0,pknox2,pkn,16hpf
