TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
srebf1_itm2cb,0.0,0.0,-0.027423337,0.0,0.0,0.0,srebf1,sre,14hpf
srebf1_apoeb,0.0,0.0,0.045924246,0.0,0.0,0.0,srebf1,sre,14hpf
otpa_apoc1,0.0,0.021118034,0.0,0.0,0.0,0.0,otpa,otp,12hpf
otpa_greb1l,0.0,0.02810411,0.0,0.0,0.0,0.0,otpa,otp,12hpf
stat5a_tp63,0.0,0.0,0.0,0.03557789,0.0,0.0,stat5a,sta,14hpf
stat5a_rpl5b,0.0,0.0,-0.027234143,0.0,0.0,0.0,stat5a,sta,14hpf
mybl1_serbp1a,0.0,0.0,0.0,-0.021877289,0.0,0.0,mybl1,myb,16hpf
mybl1_nucks1a,0.0,0.0,0.0,-0.053574342,0.0,0.0,mybl1,myb,16hpf
tlx2_chsy1,0.0,0.0,0.0,0.025836242,0.0,0.0,tlx2,tlx,16hpf
tlx2_tbx16,0.0,0.0,0.0,-0.028077142,0.0,0.0,tlx2,tlx,16hpf
tal1_cx43.4,0.0,0.027409514,0.0,0.0,0.0,0.0,tal1,tal,12hpf
tal1_apoc1,0.0,0.04851772,0.0,0.0,0.0,0.0,tal1,tal,12hpf
fezf2_fgfr2,0.0,0.0,0.0,0.0,0.0,0.006835026,fezf2,fez,24hpf
fezf2_vim,0.0,0.0,0.0,0.0,0.0,0.007232873,fezf2,fez,24hpf
prox1a_si:ch211-121a2.2,0.0,0.0,0.0,0.0,0.0,-0.024835108,prox1a,pro,19hpf
prox1a_rps20,0.0,0.0,0.0,0.0,0.017096259,0.0,prox1a,pro,19hpf
samd11_rpl18,0.0,0.0,0.0,0.0,0.0,-0.006439286,samd11,sam,24hpf
samd11_ybx1,0.0,0.0,0.0,0.0,0.0,-0.008322149,samd11,sam,24hpf
osr1_gli2a,0.0,0.0,0.0,0.0,0.015242768,0.0,osr1,osr,10hpf
osr1_zgc:174855,0.0,0.022407645,0.0,0.0,0.0,0.0,osr1,osr,10hpf
osr1_syncrip,0.040813096,0.0,0.0,0.0,0.0,0.0,osr1,osr,10hpf
bbx_sulf1,0.0,0.0,0.035329703,0.0,0.0,0.0,bbx,bbx,14hpf
bbx_serpinh1b,0.0,0.0,0.03643982,0.0,0.0,0.0,bbx,bbx,14hpf
bbx_apoc1,0.0,0.0,-0.040314924,0.0,0.0,0.0,bbx,bbx,14hpf
hnf1bb_npm1a,0.0,0.0,0.0,0.023984803,0.0,0.0,hnf1bb,hnf,16hpf
hnf1bb_hspe1,0.0,0.0,0.0,0.025794681,0.0,0.0,hnf1bb,hnf,16hpf
hnf1ba_npm1a,0.025720056,0.0,0.0,0.0,0.0,0.0,hnf1ba,hnf,10hpf
hnf1ba_ncl,0.0362024,0.0,0.0,0.0,0.0,0.0,hnf1ba,hnf,10hpf
scrt1a_hsp90ab1,0.0,0.0,0.0,0.0,0.013702475,0.0,scrt1a,scr,19hpf
scrt1a_serbp1a,0.0,0.0,0.0,0.0,0.01438749,0.0,scrt1a,scr,19hpf
scrt1a_marcksl1b,0.0,0.0,0.0,0.0,0.0,-0.008497706,scrt1a,scr,19hpf
scrt2_id1,0.0,0.021419842,0.0,0.0,0.0,0.0,scrt2,scr,12hpf
kdm2bb_rpl5b,0.0,0.0,0.03023163,0.0,0.0,0.0,kdm2bb,kdm,14hpf
kdm2bb_msna,0.0,0.0,0.030593665,0.0,0.0,0.0,kdm2bb,kdm,14hpf
kdm2bb_cx43.4,0.0,0.0,0.041763443,0.0,0.0,0.0,kdm2bb,kdm,14hpf
kdm2bb_rps26l,0.0,0.0,0.17920977,0.0,0.0,0.0,kdm2bb,kdm,14hpf
ets2_msgn1,0.0,0.0,0.028190702,0.0,0.0,0.0,ets2,ets,14hpf
ets2_serpinh1b,0.0,0.0,0.033822462,0.0,0.0,0.0,ets2,ets,14hpf
ets2_itm2cb,0.0,0.0,0.040543664,0.0,0.0,0.0,ets2,ets,14hpf
ets2_apoeb,0.0,0.0,0.08688363,0.0,0.0,0.0,ets2,ets,14hpf
vsx1_nucks1a,0.0,0.0,0.0,0.0,-0.015790565,0.0,vsx1,vsx,19hpf
vsx1_si:dkey-269i1.4,0.0,0.0,0.0,0.0,-0.01757878,0.0,vsx1,vsx,19hpf
vsx1_si:dkey-239j18.2,0.0,0.0,0.0,0.0,-0.02048927,0.0,vsx1,vsx,19hpf
vsx1_fn1b,0.0,0.0,0.0,0.0,0.016634889,0.0,vsx1,vsx,19hpf
dnmt1_rps2,0.0,0.0,0.027400788,0.0,0.0,0.0,dnmt1,dnm,14hpf
dnmt1_rpl24,0.0,0.0,0.02846913,0.0,0.0,0.0,dnmt1,dnm,14hpf
dnmt1_snrnp70,0.0,0.0,0.02994506,0.0,0.0,0.0,dnmt1,dnm,14hpf
dnmt1_setb,0.0,0.0,0.035217587,0.0,0.0,0.0,dnmt1,dnm,14hpf
isl2a_pcna,0.0,0.0,0.0,0.0,0.0,-0.0073465784,isl2a,isl,19hpf
isl2a_nop58,0.0,0.0,0.0,0.0,0.01725779,0.0,isl2a,isl,19hpf
isl2a_asph,0.0,0.0,0.0,0.0,-0.017100513,0.0,isl2a,isl,19hpf
isl2a_msgn1,0.0,0.0,0.0,0.0,-0.021922551,0.0,isl2a,isl,19hpf
grhl2b_rxraa,0.0,0.0,0.0,0.0,0.013941132,0.0,grhl2b,grh,19hpf
grhl2a_ncam1a,0.0,0.0,0.0,0.0,0.015103282,0.0,grhl2a,grh,19hpf
grhl2b_gli2a,0.0,0.0,0.0,0.0,0.016557492,0.0,grhl2b,grh,19hpf
grhl1_ved,0.0,0.0,0.0,-0.02205048,0.0,0.0,grhl1,grh,16hpf
LIN28A_col11a1a,0.0,0.0,0.0,0.0,0.024741555,0.0,LIN28A,LIN,19hpf
LIN28A_trps1,0.0,0.0,0.0,0.0,0.032468904,0.0,LIN28A,LIN,19hpf
LIN28A_ptprfb,0.0,0.0,0.0,0.0,0.013176531,0.0,LIN28A,LIN,19hpf
LIN28A_efnb2b,0.0,0.0,0.0,0.0,0.018657135,0.0,LIN28A,LIN,19hpf
atf3_col5a2a,0.0,0.0,0.0,0.0,0.0,0.010921028,atf3,atf,24hpf
atf3_nucks1a,0.0,0.0,0.0,0.0,0.0,0.011002678,atf3,atf,24hpf
atf3_net1,0.0,0.0,0.0,0.0,0.0,0.011621877,atf3,atf,24hpf
atf3_fgfrl1a,0.0,0.0,0.0,0.0,0.0,0.007479327,atf3,atf,24hpf
atf3_apoeb,0.0,0.0,0.0,0.0,0.0,0.041692633,atf3,atf,24hpf
tfec_itm2cb,0.0,0.0,0.0,0.026327442,0.0,0.0,tfec,tfe,19hpf
tfec_apoeb,0.0,0.0,0.0,0.041129164,0.0,0.0,tfec,tfe,19hpf
tfec_asph,0.0,0.0,0.0,0.0,-0.0133580165,0.0,tfec,tfe,19hpf
tfec_sox6,0.0,0.0,0.0,0.0,0.024973013,0.0,tfec,tfe,19hpf
tfec_ctslb,0.0,0.0,0.0,0.0,-0.052496947,0.0,tfec,tfe,19hpf
ar_fn1a,0.0,0.0,0.0,0.0,0.013254205,0.0,ar,ar,19hpf
ar_hoxc3a,0.0,0.0,0.0,0.0,0.015632024,0.0,ar,ar,19hpf
ar_apoc1,0.0,0.0,0.0,0.0,0.01844781,0.0,ar,ar,19hpf
ar_chsy1,0.0,0.0,0.0,0.0,0.018768443,0.0,ar,ar,19hpf
ar_serpinh1b,0.0,0.0,0.0,-0.02413955,0.0,0.0,ar,ar,19hpf
ar_foxp4,0.0,0.0,0.0,0.032618582,0.0,0.0,ar,ar,19hpf
hmx4_banf1,0.0,0.0,0.0,0.0,0.0,0.0063507315,hmx4,hmx,24hpf
hmx4_her15.2,0.0,0.0,0.0,0.0,0.0,0.0070636435,hmx4,hmx,24hpf
hmx4_eif5a,0.0,0.0,0.0,0.0,0.0,0.009044662,hmx4,hmx,24hpf
hmx4_mibp2,0.0,0.0,0.0,0.0,0.0,-0.008776895,hmx4,hmx,24hpf
hmx3a_tenm4,0.0,0.0,0.0,0.0,0.0,-0.008682322,hmx3a,hmx,16hpf
hmx3a_cirbpa,0.0,0.0,0.0,0.032112297,0.0,0.0,hmx3a,hmx,16hpf
tbr1b_rps15a,0.0,0.0,-0.037047327,0.0,0.0,0.0,tbr1b,tbr,14hpf
tbr1b_rps16,0.0,0.0,-0.039508544,0.0,0.0,0.0,tbr1b,tbr,14hpf
tbr1b_hnrnpa1b,0.0,0.0,-0.03304921,0.0,0.0,0.0,tbr1b,tbr,14hpf
tbr1b_hmga1a,0.0,0.0,-0.03454103,0.0,0.0,0.0,tbr1b,tbr,14hpf
tbr1b_rpl10a,0.0,0.0,-0.027484002,0.0,0.0,0.0,tbr1b,tbr,14hpf
tbr1b_apoeb,0.0,0.0,0.0,0.0,-0.022346048,0.0,tbr1b,tbr,14hpf
bcl11aa_cnbpb,0.0,0.0,0.0,0.0,0.0,0.008469627,bcl11aa,bcl,24hpf
bcl11aa_pmp22a,0.0,0.0,0.0,0.0,0.0,0.009697276,bcl11aa,bcl,24hpf
bcl11aa_sox11a,0.0,0.0,0.0,0.0,0.0,0.006707181,bcl11aa,bcl,24hpf
bcl11aa_stab2,0.0,0.0,0.0,0.0,0.0,-0.00637813,bcl11aa,bcl,24hpf
bcl11ab_esrrga,0.0,0.0,0.0,0.0,0.013788045,0.0,bcl11ab,bcl,16hpf
bcl11ab_tenm4,0.0,0.0,0.0,-0.040612873,0.0,0.0,bcl11ab,bcl,16hpf
nhlh2_lpar1,0.0,0.0,0.0,0.030250624,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_cx43.4,0.0,0.0,0.0,0.030583829,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_hoxb6b,0.0,0.0,0.0,0.034998465,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_fgfrl1a,0.0,0.0,0.0,0.023620365,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_rarab,0.0,0.0,0.0,0.025697589,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_zbtb16a,0.0,0.0,0.0,0.041182492,0.0,0.0,nhlh2,nhl,16hpf
nhlh2_sox6,0.0,0.0,0.0,-0.03598924,0.0,0.0,nhlh2,nhl,16hpf
dbx1b_fbn2b,0.0,0.0,0.0,-0.02394977,0.0,0.0,dbx1b,dbx,16hpf
dbx1a_hsp90ab1,0.0,0.0,0.0,0.0,0.013229246,0.0,dbx1a,dbx,10hpf
dbx1a_rpl19,0.0,0.0,0.029057076,0.0,0.0,0.0,dbx1a,dbx,10hpf
dbx1a_dkc1,0.028994901,0.0,0.0,0.0,0.0,0.0,dbx1a,dbx,10hpf
