,degree_centrality_all,cluster
hmga1a,0.25176470588235295,NMPs
meox1,0.24235294117647058,NMPs
sox19a,0.1811764705882353,NMPs
sox3,0.14588235294117646,NMPs
vox,0.14352941176470588,NMPs
hoxd9a,0.1388235294117647,NMPs
cdx4,0.12941176470588237,NMPs
ved,0.12705882352941175,NMPs
dlx3b,0.12,NMPs
irx1b,0.10588235294117647,NMPs
rarga,0.1011764705882353,NMPs
myf5,0.1011764705882353,NMPs
tbx16,0.0988235294117647,NMPs
etv5a,0.09647058823529411,NMPs
sox11a,0.09176470588235294,NMPs
cx43.4,0.08470588235294117,NMPs
hoxb7a,0.08,NMPs
zgc:174855,0.07529411764705882,NMPs
sox21a,0.07058823529411765,NMPs
gdf11,0.07058823529411765,NMPs
pax6b,0.06823529411764706,NMPs
six7,0.06588235294117648,NMPs
creb1a,0.06588235294117648,NMPs
hoxb9a,0.06352941176470588,NMPs
foxb1a,0.06352941176470588,NMPs
mafba,0.06352941176470588,NMPs
msx1b,0.06352941176470588,NMPs
meis3,0.0611764705882353,NMPs
sox5,0.0611764705882353,NMPs
irx3b,0.058823529411764705,NMPs
