,degree_centrality_all,cluster
hmga1a,0.2746987951807229,neural_posterior
meox1,0.24096385542168675,neural_posterior
sox19a,0.2385542168674699,neural_posterior
ved,0.17590361445783131,neural_posterior
sox3,0.1614457831325301,neural_posterior
cdx4,0.13493975903614458,neural_posterior
msx1b,0.12771084337349398,neural_posterior
vox,0.12530120481927712,neural_posterior
rfx4,0.1108433734939759,neural_posterior
rarga,0.10361445783132531,neural_posterior
sox11a,0.10361445783132531,neural_posterior
meis3,0.10120481927710843,neural_posterior
hoxb9a,0.09879518072289156,neural_posterior
irx1b,0.09879518072289156,neural_posterior
rxraa,0.09397590361445783,neural_posterior
meis1a,0.0891566265060241,neural_posterior
hoxb7a,0.0891566265060241,neural_posterior
tbx16,0.08674698795180723,neural_posterior
sox5,0.07710843373493977,neural_posterior
myf5,0.07710843373493977,neural_posterior
nr2f5,0.0746987951807229,neural_posterior
rxrab,0.07228915662650602,neural_posterior
pax6a,0.06746987951807229,neural_posterior
foxp4,0.06506024096385542,neural_posterior
meis2a,0.06265060240963856,neural_posterior
pax3a,0.06265060240963856,neural_posterior
sox13,0.06265060240963856,neural_posterior
gbx1,0.060240963855421686,neural_posterior
cx43.4,0.05783132530120482,neural_posterior
sox21a,0.05542168674698795,neural_posterior
