,degree_centrality_all,cluster
rxraa,0.21521739130434783,somites
sox6,0.1673913043478261,somites
meox1,0.16304347826086957,somites
meis1a,0.15,somites
mef2d,0.14782608695652175,somites
meis1b,0.14565217391304347,somites
myog,0.13695652173913042,somites
hmga1a,0.13478260869565217,somites
foxd3,0.13260869565217392,somites
meis3,0.13043478260869565,somites
hoxc6b,0.1282608695652174,somites
sox5,0.12173913043478261,somites
pax3a,0.11739130434782609,somites
hoxb3a,0.11521739130434783,somites
meis2a,0.10869565217391304,somites
pax6a,0.09347826086956522,somites
raraa,0.09130434782608696,somites
pax6b,0.08260869565217391,somites
hoxc3a,0.0782608695652174,somites
rfx4,0.07608695652173914,somites
foxp4,0.06956521739130435,somites
tgfbi,0.06956521739130435,somites
gli2a,0.06739130434782609,somites
rarga,0.06739130434782609,somites
apoc1,0.06739130434782609,somites
sox19a,0.06739130434782609,somites
sox3,0.06521739130434782,somites
mef2ca,0.06086956521739131,somites
tbx18,0.06086956521739131,somites
sox21a,0.05434782608695652,somites
