,degree_centrality_all,cluster
meox1,0.17938144329896907,spinal_cord
foxd3,0.15257731958762888,spinal_cord
sox6,0.15257731958762888,spinal_cord
hoxb3a,0.1463917525773196,spinal_cord
meis1b,0.14432989690721648,spinal_cord
rxraa,0.13814432989690723,spinal_cord
sox5,0.11958762886597939,spinal_cord
hmga1a,0.10927835051546392,spinal_cord
pax6a,0.10721649484536082,spinal_cord
tbx16,0.10309278350515463,spinal_cord
myog,0.09896907216494845,spinal_cord
pax3a,0.09690721649484536,spinal_cord
foxp4,0.09690721649484536,spinal_cord
hoxc6b,0.09484536082474226,spinal_cord
rfx4,0.088659793814433,spinal_cord
sox3,0.088659793814433,spinal_cord
meis1a,0.08453608247422681,spinal_cord
mef2ca,0.08247422680412371,spinal_cord
tbx18,0.08247422680412371,spinal_cord
sox11a,0.08041237113402062,spinal_cord
hoxc3a,0.08041237113402062,spinal_cord
meis2a,0.08041237113402062,spinal_cord
pax6b,0.07628865979381444,spinal_cord
rarga,0.07422680412371134,spinal_cord
sox19a,0.07216494845360824,spinal_cord
foxn3,0.06804123711340206,spinal_cord
meis3,0.06804123711340206,spinal_cord
mef2cb,0.06597938144329897,spinal_cord
raraa,0.06597938144329897,spinal_cord
mef2d,0.06597938144329897,spinal_cord
