,degree_centrality_all,cluster
hmga1a,0.19642857142857142,PSM
irx3a,0.19345238095238096,PSM
rxraa,0.16964285714285715,PSM
hoxa5a,0.13988095238095238,PSM
nr2f1b,0.13690476190476192,PSM
rorb,0.13690476190476192,PSM
eef1a1l1,0.13392857142857142,PSM
sox21a,0.13392857142857142,PSM
irx5a,0.13392857142857142,PSM
rps20,0.13095238095238096,PSM
hmgn2,0.12797619047619047,PSM
rpl12,0.125,PSM
cirbpa,0.12202380952380952,PSM
hspa8,0.12202380952380952,PSM
mnx2b,0.12202380952380952,PSM
rarga,0.12202380952380952,PSM
otpa,0.12202380952380952,PSM
rpsa,0.11904761904761904,PSM
tmsb4x,0.11607142857142858,PSM
eif5a,0.11607142857142858,PSM
tpt1,0.1130952380952381,PSM
ptmab,0.1130952380952381,PSM
pax6a,0.1130952380952381,PSM
lhx9,0.11011904761904762,PSM
barhl1b,0.11011904761904762,PSM
rps12,0.11011904761904762,PSM
uncx4.1,0.10714285714285714,PSM
sox11a,0.10714285714285714,PSM
drgx,0.10416666666666667,PSM
rplp0,0.10416666666666667,PSM
