,degree_centrality_all,cluster
en2a,0.21818181818181817,tail_bud
en2b,0.21212121212121213,tail_bud
hmga1a,0.18181818181818182,tail_bud
msx3,0.1696969696969697,tail_bud
msx1b,0.1606060606060606,tail_bud
rorb,0.1606060606060606,tail_bud
sox11a,0.1606060606060606,tail_bud
msx1a,0.14545454545454545,tail_bud
nr2f1b,0.12424242424242424,tail_bud
cirbpa,0.12424242424242424,tail_bud
lbx1a,0.12121212121212122,tail_bud
irx3a,0.11818181818181818,tail_bud
serbp1a,0.11818181818181818,tail_bud
hmgn2,0.11818181818181818,tail_bud
pax7a,0.11515151515151516,tail_bud
ptmab,0.11515151515151516,tail_bud
pknox2,0.11515151515151516,tail_bud
eef1a1l1,0.11515151515151516,tail_bud
foxd5,0.11515151515151516,tail_bud
sp5a,0.11515151515151516,tail_bud
rpl12,0.11212121212121212,tail_bud
dlx4b,0.10606060606060606,tail_bud
nucks1a,0.10606060606060606,tail_bud
dlx2a,0.10606060606060606,tail_bud
hsp90ab1,0.10303030303030303,tail_bud
hspa8,0.10303030303030303,tail_bud
foxo1a,0.10303030303030303,tail_bud
rplp1,0.10303030303030303,tail_bud
rplp0,0.1,tail_bud
tmsb4x,0.1,tail_bud
