TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family
jun_zbtb16a,0.0,0.0,0.03545961,0.026364498,0.029496983,0.0,jun,jun
jun_nucks1a,0.0,0.0,0.0,-0.02699907,0.0,0.029431786,jun,jun
olig2_cdh11,0.034366645,0.034416333,0.0,0.0,0.0,0.0,olig2,oli
olig2_id1,0.023332726,0.0,0.0,0.049722325,0.0,0.033826068,olig2,oli
thrab_alcamb,0.039867587,0.04429209,0.0,0.0,0.0,0.0,thrab,thr
thrab_szl,0.0,0.0,0.026064357,0.029335016,0.0,0.0,thrab,thr
tead1b_rpl6,-0.026319915,0.0,-0.025671275,-0.029459065,0.0,0.0,tead1b,tea
tead1b_fgfr2,0.0,0.0,0.028508348,0.0,0.0,0.04632377,tead1b,tea
myod1_sulf1,0.0,0.0,0.036423028,0.0325885,0.0,0.0,myod1,myo
myod1_apoc1,0.04606971,0.027205069,0.0,0.0,0.0,0.029095903,myod1,myo
myod1_id1,0.04193797,0.0,0.0,0.0,0.0,0.03835125,myod1,myo
smad3a_sulf1,0.03737376,0.07397576,0.057495978,0.02970812,0.06541261,0.02835531,smad3a,sma
smad3a_necab2,0.0,0.02971144,0.026034817,0.0,0.0,0.0,smad3a,sma
smad3a_zbtb16a,0.0,0.0,0.0,0.032138754,0.03833177,0.0,smad3a,sma
uncx4.1_fsta,0.0,0.0,0.02865227,0.0,0.0,0.031483147,uncx4.1,unc
uncx4.1_krt18a.1,0.033854634,0.029844351,0.0,0.0,0.0,0.0,uncx4.1,unc
uncx4.1_krt4,0.031009356,0.029700547,0.0,0.0,0.0,0.0,uncx4.1,unc
tfap2a_pax3a,0.025423134,0.026062412,0.0,0.0,0.0,0.0,tfap2a,tfa
tfap2a_rpl15,0.26760197,0.1947657,0.13543133,0.11065597,0.15340224,0.22169907,tfap2a,tfa
tfap2c_rpl15,0.24291441,0.27505204,0.20329627,0.24558574,0.2739665,0.23621908,tfap2c,tfa
gata3_ncl,0.0297825,0.0,0.0,0.0,0.0,0.02012486,gata3,gat
gata3_cirbpa,0.024423178,0.0,0.0,0.0,0.0,0.026572049,gata3,gat
gata2a_akap12b,0.022796137,0.0,0.0,0.0,0.0,0.020388871,gata2a,gat
onecut2_chrd,0.0,0.0,0.0,0.037096664,0.0,0.022761928,onecut2,one
onecut2_her1,0.0,0.0,0.0,-0.04251678,-0.032762103,0.0,onecut2,one
onecut2_qkia,0.0,0.0,0.0,0.0,-0.028794523,-0.022275627,onecut2,one
pbx1b_cxcl12a,0.0,0.025095273,0.0,0.0,0.0,0.035750158,pbx1b,pbx
pbx1b_tmsb4x,0.0,0.0,-0.02930849,-0.027618095,0.0,0.0,pbx1b,pbx
pbx1b_tubb4b,0.0,0.0,0.0,-0.03741516,0.0,0.022825183,pbx1b,pbx
noto_sulf1,0.0,0.040125478,0.035146806,0.038162313,0.027195837,0.0,noto,not
noto_mki67,-0.024440452,0.0,0.0,-0.026759498,0.0,0.0,noto,not
noto_rps3a,0.0,0.0,0.0,0.0,0.028342405,0.0204761,noto,not
mafba_rpl15,0.033303954,0.12807296,0.1903158,0.22577569,0.15312538,0.19901201,mafba,maf
mafba_kirrel3l,0.026885426,0.029661838,0.0,0.0,0.0,0.0,mafba,maf
mafba_alcamb,0.0,0.0,0.039256744,0.034793686,0.0,0.027655229,mafba,maf
mafba_marcksb,0.0,0.0,0.0,0.030613644,0.027824307,0.0,mafba,maf
dmrt2a_zbtb16a,0.0,0.0,-0.028012706,-0.036215115,-0.035104062,0.0,dmrt2a,dmr
dmrt2a_large2,0.023372117,0.0,0.0,0.039164152,0.064760804,0.04088553,dmrt2a,dmr
dmrt2a_meis1a,0.030357592,0.026037278,0.031332187,0.03258586,0.06880885,0.05405464,dmrt2a,dmr
dmrt2a_enah,0.021448867,0.03091892,0.040753365,0.042366665,0.070472695,0.035824236,dmrt2a,dmr
dbx1a_rpl3,0.03472831,0.03634029,0.03279986,0.034362458,0.026314529,0.043443818,dbx1a,dbx
dbx1a_tubb4b,0.0,0.0,0.039087735,0.029825287,0.0,0.026869683,dbx1a,dbx
dbx1a_rpl19,0.023949701,0.0,0.0,0.0,0.0,0.028922567,dbx1a,dbx
dbx1a_rpl5b,0.023226814,0.0,0.025225343,0.0,0.0,0.028428273,dbx1a,dbx
hey1_cirbpa,0.0,0.030968668,0.027980207,0.032141503,0.0,0.0,hey1,hey
hey1_rpl3,0.030426838,0.03634377,0.0,0.0,0.0,0.0,hey1,hey
hey1_tmsb4x,0.022945438,0.03705909,0.0,0.0,0.0,0.0,hey1,hey
hey1_nucks1a,0.044396993,0.031789616,0.0,0.0,0.0,0.0,hey1,hey
hey1_syncrip,0.038203638,0.0259691,0.0,0.0,0.0,0.0,hey1,hey
gbx1_alcamb,0.027176725,0.028990034,0.04593428,0.0,0.0,0.0,gbx1,gbx
gbx1_tbx16,0.0,0.0,-0.031091932,-0.03572389,0.0,0.0,gbx1,gbx
gbx1_nucks1a,-0.022068935,-0.02455334,0.0,0.0,0.0,0.020275112,gbx1,gbx
gbx1_rpl3,0.0,0.0,0.0,0.031364236,0.0,0.026154231,gbx1,gbx
gbx1_crabp2b,0.034392837,0.0,0.0,0.0,0.0,0.03782799,gbx1,gbx
gbx1_rrm2,0.025482897,0.0,0.0,0.0,0.0,0.021458054,gbx1,gbx
nkx1.2la_faua,0.0,0.029712023,0.0,0.0,0.02913484,0.022323007,nkx1.2la,nkx
nkx1.2la_rpl21,0.0,0.025415312,0.0,0.0,0.027275063,0.021458212,nkx1.2la,nkx
nkx1.2la_hspb1,0.03159812,0.035534058,0.0,0.0,0.03346239,0.0,nkx1.2la,nkx
nkx6.2_hspb1,0.02911424,0.02640007,0.0,0.0,0.0,0.0,nkx6.2,nkx
nkx1.2la_rpl13a,0.025750136,0.0,0.0,0.0,0.02749605,0.0,nkx1.2la,nkx
nkx1.2la_rps3a,0.02537362,0.0,0.0,0.0,0.0,0.02467805,nkx1.2la,nkx
zbtb18_efemp2b,0.042846,0.038170177,0.05037928,0.07835607,0.08767101,0.06185166,zbtb18,zbt
zbtb18_pcdh8,0.0,0.0,0.026029864,0.0,0.0,0.034403905,zbtb18,zbt
