TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
srebf1_cdx4,0.0,0.0,0.0,0.0,0.025641378,0.024030847,srebf1,sre,somites
srebf1_nectin1b,0.022115784,0.0,0.0,0.0,0.0,0.04271357,srebf1,sre,somites
lin28b_seta,0.0,0.0,0.0,0.0,0.0,-0.022975301,lin28b,lin,neural_posterior
lin28b_nucks1a,0.02664326,0.0,0.0,0.0,0.0,0.0,lin28b,lin,neural_posterior
mnx1_cbx3a,0.0,0.0,-0.020957435,0.0,0.0,0.0,mnx1,mnx,neural_posterior
mnx1_alcamb,-0.024462514,0.0,0.0,0.0,0.0,0.0,mnx1,mnx,neural_posterior
otpa_apoc1,0.0,0.0,0.0,0.021118034,0.0,0.0,otpa,otp,tail_bud
otpa_greb1l,0.0,0.0,0.0,0.02810411,0.0,0.0,otpa,otp,tail_bud
pdx1_rps9,0.0,0.0,0.0,0.0,0.0,0.020827778,pdx1,pdx,somites
pdx1_apoc1,0.0,0.0,0.0,0.0,0.0,0.021359045,pdx1,pdx,somites
pdx1_rps5,0.0,0.022354933,0.0,0.0,0.0,0.022040553,pdx1,pdx,somites
osr2_nucks1a,0.0,0.0,0.0,0.0,0.0,0.021627344,osr2,osr,somites
osr1_nucks1a,0.02200847,0.0,0.0,0.0,0.021793088,0.0,osr1,osr,neural_posterior
osr1_zgc:174855,0.019345375,0.02297044,0.023191899,0.022407645,0.0,0.0,osr1,osr,neural_posterior
nfe2l2a_nectin1b,0.0,0.0,0.0,0.0,0.0,-0.040519916,nfe2l2a,nfe,neural_posterior
nfe2l2a_eef1a1l1,-0.021191914,0.0,0.0,0.0,0.0,0.0,nfe2l2a,nfe,neural_posterior
nfe2l2a_szl,0.0,0.0,0.024258524,0.038579933,0.0,0.0,nfe2l2a,nfe,neural_posterior
fli1a_tbx16,0.0,0.0,-0.021138377,-0.022362504,0.0,0.0,fli1a,fli,NMPs
fli1a_szl,0.0,0.0,-0.026296077,0.0,0.0,0.0,fli1a,fli,NMPs
fli1a_eef1a1l1,0.027548052,0.0,0.0,0.0,0.0,0.0,fli1a,fli,NMPs
neurod4_zgc:174855,0.0,0.0,0.0,0.0,-0.023266137,0.0,neurod4,neu,spinal_cord
neurod4_sulf1,0.0,0.0,-0.022480162,0.0,0.0,0.0,neurod4,neu,spinal_cord
neurod4_chrd,0.0,-0.048846833,0.0,0.0,0.0,0.0,neurod4,neu,spinal_cord
tal1_cx43.4,0.0,0.0,0.0,0.027409514,0.0,0.0,tal1,tal,NMPs
tal1_serpinh1b,0.0,0.0,-0.02901613,0.0,0.0,0.0,tal1,tal,NMPs
tal1_apoc1,0.0,0.0,0.020579098,0.04851772,0.03722306,0.0,tal1,tal,NMPs
emx3_abcf1,0.0,0.0,0.020967457,0.0,0.0,0.0,emx3,emx,NMPs
emx3_rpl21,0.0,0.0,0.021482749,0.0,0.0,0.0,emx3,emx,NMPs
emx3_nop56,0.020605808,0.0,0.0,0.0,0.0,0.0,emx3,emx,NMPs
emx3_cfl1,0.0,0.0,0.0,0.0,0.0228808,0.0,emx3,emx,NMPs
wt1a_chsy1,0.0,0.020766178,0.0,0.0,0.0,0.0,wt1a,wt,spinal_cord
wt1b_syncrip,0.0,0.0,0.020589923,0.0,0.0,0.0,wt1b,wt,NMPs
wt1b_hmgb3a,0.0,0.0,0.02134674,0.0,0.0,0.0,wt1b,wt,NMPs
wt1b_szl,0.0,0.0,-0.026907396,0.026962323,0.0,0.0,wt1b,wt,NMPs
si:ch211-153j24.3_rpl21,0.0,0.0,0.0,0.0,0.0,0.022624506,si:ch211-153j24.3,si,somites
si:ch211-153j24.3_cdx4,0.0,0.021479754,0.0,0.0,0.0,0.0,si:ch211-153j24.3,si,somites
si:ch211-153j24.3_nectin1b,0.0,0.0,0.0,0.0,0.0,-0.028905967,si:ch211-153j24.3,si,somites
si:ch211-153j24.3_eef1a1l1,0.0,0.0,0.03204418,0.0,0.0,0.04412114,si:ch211-153j24.3,si,somites
twist1a_si:dkey-239j18.2,0.0,0.0,0.021444436,0.0,0.0,0.0,twist1a,twi,NMPs
twist1a_zgc:174855,0.0,0.0,0.022555636,0.0,0.0,0.0,twist1a,twi,NMPs
twist1a_rpl36a,0.0,0.0,0.0,0.021832114,0.0,0.0,twist1a,twi,NMPs
twist1a_efemp2b,0.0,0.0,0.0,0.0,0.0,0.024554214,twist1a,twi,NMPs
olig2_rpl5b,0.0,0.0,0.0,0.021370443,0.0,0.0,olig2,oli,spinal_cord
olig2_apoc1,0.0,0.0,0.0,0.03177442,0.0,0.0,olig2,oli,spinal_cord
olig2_pax3a,0.0,-0.023367425,0.0,0.0,0.0,0.0,olig2,oli,spinal_cord
olig2_cdh11,0.036192417,0.03807245,0.0,0.0,0.0,0.0,olig2,oli,spinal_cord
vax1_hspb1,0.0,0.0,0.020344015,0.0,0.0,0.0,vax1,vax,NMPs
vax1_faua,0.0,0.0,0.025227506,0.0,0.0,0.0,vax1,vax,NMPs
vax1_rpl21,0.0,0.0,0.0,0.024183057,0.0,0.0,vax1,vax,NMPs
vax1_rpl3,0.0,0.0,0.0,0.025815034,0.0,0.0,vax1,vax,NMPs
pknox2_nucks1a,0.0,0.0,-0.021883193,0.0,0.0,0.0,pknox2,pkn,neural_posterior
pknox2_nop58,0.019748213,0.0,0.0,0.0,0.0,0.0,pknox2,pkn,neural_posterior
pknox2_fn1b,0.0,0.0,0.0,0.0,0.0,0.026456645,pknox2,pkn,neural_posterior
pknox2_id1,-0.019815357,0.0,0.0,0.0,0.0,0.0,pknox2,pkn,neural_posterior
pknox2_apoc1,-0.02280342,0.0,0.0,0.0,0.0,0.0,pknox2,pkn,neural_posterior
stat5a_abcf1,0.0,0.0,-0.022992147,0.0,0.0,0.0,stat5a,sta,spinal_cord
stat5a_marcksb,0.0,-0.022290578,0.0,0.0,0.0,0.0,stat5a,sta,spinal_cord
stat5a_rps9,-0.030623844,0.0,0.0,0.0,0.0,0.0,stat5a,sta,spinal_cord
stat5a_si:dkey-239j18.2,0.0,0.023059255,0.0,0.0,0.0,0.0,stat5a,sta,spinal_cord
stat5a_ctslb,0.0,0.023493242,0.0,0.0,0.0,0.0,stat5a,sta,spinal_cord
stat5a_si:dkey-26g8.5,0.0,0.02882533,0.0,0.0,0.0,0.0,stat5a,sta,spinal_cord
stat5a_zgc:174855,0.019874375,0.030346692,0.0,0.0,0.0,0.0,stat5a,sta,spinal_cord
pitx2_zgc:174855,0.0231231,0.0,0.021611609,0.0,0.0,0.0,pitx2,pit,neural_posterior
pitx3_rpl34,0.0,0.0,0.02002318,0.0,0.0,0.0,pitx3,pit,NMPs
pitx3_rps24,0.0,0.0,0.021007994,0.0,0.0,0.0,pitx3,pit,NMPs
pitx3_npm1a,0.0,0.0,0.023530046,0.0,0.0,0.0,pitx3,pit,NMPs
pitx3_rps7,0.0,0.0,0.0,0.0,0.02183914,0.0,pitx3,pit,NMPs
pitx3_ncl,0.0,0.0,0.0,0.026136905,0.0,0.0,pitx3,pit,NMPs
pitx3_faua,0.0,0.0,0.020129174,0.029281724,0.0,0.0,pitx3,pit,NMPs
jun_zbtb16a,0.022134041,0.0,0.0,0.0,0.0,0.0,jun,jun,neural_posterior
jun_tmsb4x,0.022952192,0.0,0.0,0.0,0.0,0.0,jun,jun,neural_posterior
jun_abcf1,0.0,0.0,0.0,0.0,-0.02165332,0.0,jun,jun,neural_posterior
jun_fn1b,0.0,0.0,0.0,0.0,0.0,-0.029079137,jun,jun,neural_posterior
jun_nectin1b,0.0,0.0,0.0,0.0,0.022297584,-0.023001276,jun,jun,neural_posterior
jun_cdx4,0.0,0.030571824,0.033970222,0.0,0.0,0.0,jun,jun,neural_posterior
jun_eef1a1l1,0.03292244,0.06252853,0.036252014,0.025598492,0.022758061,0.023045447,jun,jun,neural_posterior
rorb_alcamb,-0.020916738,0.0,0.0,0.0,0.0,0.0,rorb,ror,neural_posterior
rorb_cnbpb,-0.021679066,0.0,0.0,0.0,0.0,0.0,rorb,ror,neural_posterior
rorb_eif5a2,0.0,-0.020669352,0.0,0.0,0.0,0.0,rorb,ror,neural_posterior
rorb_nop58,0.0,-0.023020236,0.0,0.0,0.0,0.0,rorb,ror,neural_posterior
rorb_tmsb4x,0.0,0.0,0.0,0.0,0.0,-0.02210089,rorb,ror,neural_posterior
rorb_szl,0.0,0.0,-0.02407331,0.0,0.0,0.0,rorb,ror,neural_posterior
roraa_top1l,0.0,0.0,0.021827485,0.0,0.0,0.0,roraa,ror,NMPs
roraa_tenm4,0.0,0.0,0.0,0.0,0.023055252,0.0,roraa,ror,NMPs
tp63_cbx3a,0.019621868,0.0,0.0,0.0,0.0,0.0,tp63,tp,spinal_cord
tp63_rpl19,0.020980814,0.0,0.0,0.0,0.0,0.0,tp63,tp,spinal_cord
tp63_pcna,0.0,0.0,0.0,0.022064088,0.0,0.0,tp63,tp,spinal_cord
tp63_zgc:174855,0.0,-0.022281457,0.0,0.0,0.0,0.0,tp63,tp,spinal_cord
tp63_bcam,0.0,0.0204369,0.0,0.0,0.0,0.025752112,tp63,tp,spinal_cord
tp63_serbp1a,0.0,0.02121407,0.0,0.0,0.0,0.0,tp63,tp,spinal_cord
tp63_szl,0.0,0.0,0.03406469,0.0,0.0,0.0,tp63,tp,spinal_cord
tp63_serpinh1b,0.0,0.0,0.0,-0.027035935,-0.029027883,0.0,tp63,tp,spinal_cord
tead3b_tuba8l4,0.0,-0.02488039,0.0,0.0,0.0,0.0,tead3b,tea,spinal_cord
tead1b_meox1,0.0,0.0,0.0,0.0,0.0,-0.021810642,tead1b,tea,neural_posterior
tead1b_ephb4a,0.021800099,0.0,0.0,0.0,0.0,0.0,tead1b,tea,neural_posterior
tead1b_sulf1,0.0,0.0,0.0,0.0,0.024056995,0.0,tead1b,tea,neural_posterior
tead1b_enah,0.0,0.0,0.0,0.0,0.0,0.02405932,tead1b,tea,neural_posterior
tead1b_rpl6,-0.023856169,-0.024638701,0.0,0.0,0.0,0.0,tead1b,tea,neural_posterior
