TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites
creb5b_rpl13a,-0.027866255,0.0,-0.023123078,0.0,0.0,0.0
creb3l3b_rack1,0.0,0.035065584,0.03279282,0.0,0.0,0.0
nanog_rpl5b,0.023263711,0.0,0.031829067,0.0,0.032956764,0.0
nanog_rpl19,0.02257727,0.0,0.02323275,0.0,0.0,0.0
mnx2b_qkia,0.039691,0.027152585,0.0,0.0,0.0,0.0
mnx2b_nop56,0.027617382,0.03557645,0.0,0.0,0.0,0.0
bhlhe22_rack1,0.0,0.0,0.025613597,0.050317675,0.05357755,0.0
bhlhe22_npm1a,0.0,0.0,0.02311239,0.03324519,0.0,0.0
bbx_serpinh1b,0.0,0.0,0.0316814,0.03643982,0.030271187,0.0
bbx_apoc1,0.0,0.0,0.02541076,-0.040314924,-0.074624844,0.0
phox2bb_cx43.4,0.0,0.0,-0.027252233,0.036811277,0.042439625,0.0
phox2bb_rpl13a,0.0,0.0,0.025704358,-0.027689233,0.0,0.0
vax2_fn1a,0.0,0.0,0.035989612,0.046824392,0.0,0.0
vax2_sulf1,0.0,0.0,0.022610893,0.03138634,0.0,0.0
onecut2_serpinh1b,0.0,0.0,-0.0358721,-0.03858014,0.0,-0.08864
onecut1_serpinh1b,0.0,0.0,0.0,0.0,-0.04934234,-0.028051052
cebpb_apoeb,0.020772744,0.0,0.0,0.0,-0.031529278,0.0
cebpb_apoc1,0.0,0.0,0.0,0.050380766,-0.039299246,0.0
jun_nectin1b,0.021694917,0.0,0.028548794,0.0,0.0,0.0
jun_nucks1a,0.021336248,0.03292362,0.0,0.0,0.0,0.0
olig2_apoc1,0.0,0.0,0.048477303,0.0,-0.07515193,0.031324215
olig2_cdh11,0.046817824,0.053859368,0.0,0.0,0.0,0.0
olig2_cirbpa,0.0,0.0,0.0,0.028970316,0.0,0.035363235
tead1b_tenm4,0.0298263,0.043243263,0.0366543,0.042012967,0.080727026,0.0
tead1b_fgfr2,0.043102477,0.03432146,0.028404012,0.0,0.0,0.029497027
tead1b_prickle1b,0.0,0.0,0.02390151,0.0,0.03201465,0.0
