gene_name,sample,start,end
mir219-1,TDR126,10310069,10310808
urm1,TDR126,10312861,10313479
mir219-1,TDR126,10318867,10319654
mir219-1,TDR126,10326182,10326642
mir219-1,TDR126,10330100,10330858
mir219-1,TDR126,10333217,10333773
mir219-1,TDR126,10339387,10339829
dbh,TDR126,10606639,10607089
swi5,TDR126,10728383,10729337
slc27a4,TDR126,10738234,10739715
ptgdsa,TDR126,10788286,10788851
ambp,TDR126,10801284,10801828
nrarpa,TDR126,10862813,10864559
pigp,TDR126,109031,111179
cdc37l1,TDR126,10972164,10973108
ak3,TDR126,11010638,11012124
ugcg,TDR126,11036703,11039003
hsdl2,TDR126,11264120,11264494
hsdl2,TDR126,11265143,11265903
inip,TDR126,11322190,11323332
lin54,TDR126,11352530,11353230
cops4,TDR126,11355573,11356434
cwc27,TDR126,11396959,11398410
srek1ip1,TDR126,11396959,11398410
ppwd1,TDR126,11767567,11767932
bmpr1bb,TDR126,1179874,1180855
trim23,TDR126,11839804,11840849
trim23,TDR126,11841213,11841432
ripply3,TDR126,119951,120724
ripply3,TDR126,121326,121568
pdlim5b,TDR126,1275264,1275939
lpar1,TDR126,12949432,12950134
lpar1,TDR126,12955818,12956365
lpar1,TDR126,12999737,12999988
lpar1,TDR126,13000383,13001149
musk,TDR126,13115972,13116350
musk,TDR126,13178630,13179078
rassf6,TDR126,13209031,13209252
rassf6,TDR126,13209453,13209827
si:busm1-57f23.1,TDR126,13238874,13239500
tmem267,TDR126,13278532,13279577
tmem267,TDR126,13283348,13283747
LOC556326,TDR126,13396062,13396995
il11ra,TDR126,13396062,13396995
LOC556326,TDR126,13397221,13397539
cntfr,TDR126,13771736,13773240
gdnfa,TDR126,1396708,1397377
galt,TDR126,14487581,14488911
sigmar1,TDR126,14487581,14488911
katnal2,TDR126,14499081,14499716
hdhd2,TDR126,14539912,14540779
ier3ip1,TDR126,14545172,14545774
tiprl,TDR126,14677,15119
smad2,TDR126,14928776,14930411
scpp8,TDR126,15106479,15107315
scpp8,TDR126,15107570,15107991
spp1,TDR126,15128674,15128916
spp1,TDR126,15129576,15130138
vldlr,TDR126,15254598,15256142
pum3,TDR126,15339708,15341301
trappc13,TDR126,15339708,15341301
tiprl,TDR126,15339,16750
sgtb,TDR126,15404852,15405644
nln,TDR126,15408083,15408918
erbin,TDR126,15454714,15456217
zfand5b,TDR126,15602632,15604990
smc5,TDR126,15644046,15645081
tjp2a,TDR126,15853845,15855189
tjp2a,TDR126,15878864,15879707
tjp2a,TDR126,15880281,15880561
pip5k1ba,TDR126,15919218,15919982
mir23b,TDR126,15954049,15954769
mir27d,TDR126,15954049,15954769
mir24-1,TDR126,15959796,15960338
mir24-1,TDR126,15960661,15961037
aldh7a1,TDR126,16027412,16028197
aldh7a1,TDR126,16028898,16029490
phax,TDR126,16028898,16029490
lmnb1,TDR126,16035716,16037569
prrc1,TDR126,16164902,16165673
slc12a2,TDR126,16225251,16227038
nup155,TDR126,1635938,1636547
slc27a6,TDR126,16500574,16500811
slc27a6,TDR126,16501300,16502322
isoc1,TDR126,16546694,16548699
chsy3,TDR126,16591853,16593378
erg,TDR126,167534,167859
triap1,TDR126,1680572,1682013
stoml2,TDR126,16867892,16868473
srsf9,TDR126,1696412,1698069
fam166b,TDR126,17082591,17083788
fam166b,TDR126,17084050,17084380
slc5a1,TDR126,17159626,17159830
slc5a1,TDR126,17160432,17160647
ywhah,TDR126,17168637,17170549
si:ch73-46j18.5,TDR126,1717211,1718554
rab36,TDR126,17231767,17232721
sppl3,TDR126,17371420,17373003
mir301c,TDR126,17454410,17455401
nt5c2l1,TDR126,17484180,17484938
ska1,TDR126,17550075,17551029
smarcad1b,TDR126,17587360,17587961
smarcad1b,TDR126,17588602,17589144
drg1,TDR126,17680657,17681819
slc20a1b,TDR126,17713804,17714672
ccl19b,TDR126,17776340,17777308
prkab1a,TDR126,17936176,17937036
epb41l4a,TDR126,1826864,1827819
apc,TDR126,1849257,1849499
ets2,TDR126,187281,188776
ppp2r2ab,TDR126,18876980,18877674
bnip3lb,TDR126,18910621,18911658
dpysl2b,TDR126,18951948,18953867
tmem230a,TDR126,19016928,19017587
vsig8a,TDR126,19524852,19525079
vsig8a,TDR126,19525636,19525994
tdgf1,TDR126,1960780,1961944
xpo7,TDR126,20069126,20070944
pbdc1,TDR126,20105347,20106277
dmtn,TDR126,20107109,20107770
dmtn,TDR126,20108029,20108975
ppp3ccb,TDR126,20179791,20180739
sfrp1b,TDR126,20356262,20357105
sfrp1b,TDR126,20357493,20357735
golga7,TDR126,20363711,20364738
loxl2a,TDR126,20445255,20445528
plpp5,TDR126,20536111,20538357
sprn2,TDR126,20638560,20639313
kcnip3b,TDR126,20705285,20706304
kcnip3b,TDR126,20706893,20707321
psmg1,TDR126,210189,212151
mpzl1l,TDR126,213376,214216
avd,TDR126,21361407,21362262
trpc7a,TDR126,21395264,21395969
etf1b,TDR126,21434481,21435667
fbxw11b,TDR126,21444241,21445359
fgf18b,TDR126,21483751,21485369
pcdh1a3,TDR126,21558548,21558755
pcdh1a3,TDR126,21559407,21559612
pcdh1a4,TDR126,21563778,21564021
pcdh1a6,TDR126,21576712,21576937
pcdh1g1,TDR126,21650595,21650825
pcdh1g2,TDR126,21656262,21656484
pcdh1g3,TDR126,21660161,21660477
pcdh1gb2,TDR126,21676773,21676976
pcdh1g9,TDR126,21701330,21701816
pcdh1g11,TDR126,21707403,21707602
pcdh1g11,TDR126,21708136,21708400
pcdh1gb9,TDR126,21717698,21717897
pcdh1gb9,TDR126,21718134,21718529
pcdh1g18,TDR126,21737320,21737779
pcdh1g22,TDR126,21775632,21776238
pcdh1g22,TDR126,21776665,21776864
pcdh1g33,TDR126,21783063,21783280
pcdh1g26,TDR126,21786321,21786649
pcdh1gc5,TDR126,21789621,21790130
pcdh1gc6,TDR126,21793221,21793662
pcdh1g29,TDR126,21796963,21797248
pcdh1g30,TDR126,21800455,21801004
pcdh1g32,TDR126,21806543,21806742
pcdh1g32,TDR126,21807007,21807555
pcdh1g32,TDR126,21807939,21809665
cbln17,TDR126,21866356,21867058
cbln17,TDR126,21867170,21867639
riox2,TDR126,21943,23265
kcnip1b,TDR126,22003224,22003822
kcnip1b,TDR126,22012175,22013174
npm1a,TDR126,22033490,22035227
ugt5g2,TDR126,22087177,22087383
cldn7b,TDR126,22147744,22149179
cldn7b,TDR126,22149403,22150548
nlgn2b,TDR126,22381221,22381474
nlgn2b,TDR126,22381845,22382395
zgc:172339,TDR126,22505146,22506267
kdm6bb,TDR126,22723672,22724219
tmem88a,TDR126,22770763,22771310
tmem88a,TDR126,22771870,22772202
si:ch211-237l4.6,TDR126,22782073,22783194
pcolcea,TDR126,22803393,22804001
per1a,TDR126,22827765,22828657
vamp2,TDR126,22845262,22846237
and3,TDR126,22853908,22855453
ap4m1,TDR126,22853908,22855453
arrb2a,TDR126,22890830,22892071
med11,TDR126,22911560,22912594
rnasekb,TDR126,22917687,22918843
zgc:103508,TDR126,22917687,22918843
slc25a1a,TDR126,23060032,23061150
nle1,TDR126,23099353,23100720
cadm2a,TDR126,23908455,23909612
slc43a2b,TDR126,24391551,24391965
slc43a2b,TDR126,24392311,24392737
paxbp1,TDR126,24421445,24422481
stoml3b,TDR126,24647948,24648229
vps36,TDR126,24658991,24660291
tpte,TDR126,24690194,24690979
smpd1,TDR126,24723633,24724538
ilk,TDR126,24758707,24759776
ilk,TDR126,24760120,24760447
timm10b,TDR126,24765459,24767041
cd209,TDR126,25028085,25028673
mtnr1bb,TDR126,25068357,25069374
chordc1b,TDR126,25204492,25206211
kpna7,TDR126,25217293,25217724
grm5a,TDR126,25222338,25222815
tmem135,TDR126,25327689,25329466
cct8,TDR126,25342238,25343131
bach1b,TDR126,25369337,25370793
sod1,TDR126,25698577,25699864
nxnl2,TDR126,2581396,2582732
ftr54,TDR126,25822787,25823202
ftr54,TDR126,25823646,25823885
trpc4a,TDR126,25853163,25853769
ufm1,TDR126,25947619,25948446
frem2a,TDR126,25982084,25982984
trim47,TDR126,26117404,26118959
trim3b,TDR126,26163441,26164337
fhdc3,TDR126,26202251,26202896
arfip2b,TDR126,26224354,26225767
synj1,TDR126,26515739,26516481
slc9a6b,TDR126,26570773,26571585
fhl1b,TDR126,26597422,26598305
htatsf1,TDR126,26651876,26652240
htatsf1,TDR126,26652538,26653869
tmtops3b,TDR126,26688841,26689642
fgf13b,TDR126,26737258,26737535
fgf13b,TDR126,26742689,26744285
pdxp,TDR126,2681376,2682530
pdxp,TDR126,2682955,2684140
rab1bb,TDR126,26926275,26927023
tm7sf2,TDR126,26971981,26973526
znhit2,TDR126,26984892,26985376
faub,TDR126,26989035,26990429
uqcc3,TDR126,27008763,27009610
cnih2,TDR126,27046264,27046889
wdr74,TDR126,27052042,27053339
mir194a,TDR126,27062427,27063469
ehd1b,TDR126,27068051,27069910
cxadr,TDR126,27095532,27096238
mier3a,TDR126,2712573,2713500
ash2l,TDR126,2788189,2789534
pnx,TDR126,2798821,2799515
ints2,TDR126,28027950,28029507
aebp1,TDR126,2806278,2808113
aebp1,TDR126,2809992,2810404
med13a,TDR126,28116619,28118013
rnft1,TDR126,28159764,28160386
mir21-1,TDR126,28198353,28199445
ptrh2,TDR126,28305981,28306916
cltca,TDR126,28367683,28369652
btg3,TDR126,28379845,28381084
btg3,TDR126,28381607,28381903
ykt6,TDR126,2840313,2841742
ddx56,TDR126,2875277,2877235
alcama,TDR126,28834973,28835942
zpld1a,TDR126,29120459,29121012
zpld1a,TDR126,29121371,29121605
picalma,TDR126,29137541,29138787
ccdc83,TDR126,29235986,29237033
tmem126a,TDR126,29271362,29273232
tmem126a,TDR126,29273574,29273921
dlg2,TDR126,29337448,29338361
dlg2,TDR126,29339159,29339364
oclna,TDR126,2942291,2943379
ift46,TDR126,29744103,29745037
vps11,TDR126,29768054,29768653
hyou1,TDR126,29769405,29771156
vps11,TDR126,29769405,29771156
h2afx1,TDR126,29815354,29817428
hist2h2l,TDR126,29815354,29817428
zpr1,TDR126,29831200,29832777
hspa8,TDR126,29848503,29849644
jhy,TDR126,29854165,29855871
bsx,TDR126,29892160,29892963
lim2.1,TDR126,29903014,29903428
ntm,TDR126,29963316,29964186
emsy,TDR126,301945,303194
opcml,TDR126,30784822,30785562
wu:fj39h09,TDR126,309320,310087
ckmt2a,TDR126,3110267,3110671
ckmt2a,TDR126,3111420,3111652
pknox2,TDR126,31175653,31176646
tmem218,TDR126,31222456,31223424
robo3,TDR126,31440345,31441288
hic2,TDR126,3145282,3147336
robo3,TDR126,31562606,31563273
esama,TDR126,31645515,31646186
fez1,TDR126,31782452,31783167
vps26bl,TDR126,31804768,31806032
foxo1b,TDR126,31808688,31809804
lhfpl6,TDR126,31950881,31951554
thap12a,TDR126,32058210,32059774
wnt11r,TDR126,32103946,32104756
akt2l,TDR126,322088,322972
uvrag,TDR126,32493249,32494582
uvrag,TDR126,32494885,32495086
dgat2,TDR126,32523681,32524412
mogat2,TDR126,32558659,32558873
mogat2,TDR126,32610123,32610969
mogat2,TDR126,32611601,32612180
atg101,TDR126,32660095,32660847
rad51c,TDR126,32663025,32664109
ppm1e,TDR126,32682805,32683572
rabgef1,TDR126,32877111,32877546
kctd7,TDR126,32889602,32890773
slc25a1b,TDR126,3294447,3295310
zgc:56235,TDR126,3299492,3300379
myl10,TDR126,33171091,33171990
bcl7ba,TDR126,33251018,33251952
tbl2,TDR126,33264960,33265869
tor4aa,TDR126,3331671,3332566
brap,TDR126,3336628,3337319
ska2,TDR126,33378722,33379919
mdh2,TDR126,33382791,33383575
zgc:153345,TDR126,33392889,33393262
zgc:153345,TDR126,33393395,33394435
cfap298,TDR126,33573695,33574370
b3glctb,TDR126,33625780,33626488
rxfp2a,TDR126,33754315,33755685
zar1l,TDR126,34000920,34002338
rfc3,TDR126,34032575,34033630
zgc:174193,TDR126,34046944,34047143
ddx55,TDR126,3415688,3417055
vaspa,TDR126,342104,342628
ptpn11a,TDR126,3426777,3428694
tmed2,TDR126,3426777,3428694
nbeaa,TDR126,34425788,34426822
zgc:171929,TDR126,346143,346782
dclk1a,TDR126,34772206,34772443
sparta,TDR126,34906334,34907675
sparta,TDR126,34908027,34908447
ccna1,TDR126,34914959,34916031
rfxap,TDR126,34957460,34958030
rfxap,TDR126,34958212,34959168
smad9,TDR126,34980072,34981161
alg5,TDR126,35002167,35003090
exosc8,TDR126,35002167,35003090
zgc:110006,TDR126,35108306,35108901
ripk4,TDR126,35149115,35149936
nsun5,TDR126,35152424,35153105
pom121,TDR126,35185328,35186509
pla2g3,TDR126,3519675,3520298
styxl1,TDR126,35256994,35257913
tmem120a,TDR126,35264531,35265577
pora,TDR126,35275408,35276618
gabrr3a,TDR126,35410456,35410655
hhla2a.1,TDR126,35416302,35417557
hhla2a.2,TDR126,35445460,35446006
hhla2a.2,TDR126,35446631,35447142
zdhhc20a,TDR126,35553740,35554819
mir212-2,TDR126,35644184,35644423
mir212-2,TDR126,35644690,35644969
ovca2,TDR126,35668128,35668939
hmgb1a,TDR126,36026083,36027855
katnal1,TDR126,36037507,36038583
smyd4,TDR126,36091367,36091658
smyd4,TDR126,36092276,36093427
waif2,TDR126,36150753,36151258
or108-2,TDR126,36183603,36184370
or108-2,TDR126,36184664,36184882
si:ch211-215a9.5,TDR126,36196760,36198104
or109-7,TDR126,36220350,36220591
or109-6,TDR126,36222303,36223068
or109-5,TDR126,36225918,36226601
or109-1,TDR126,36244248,36244641
or109-1,TDR126,36245238,36245533
or106-11,TDR126,36272514,36272811
or106-6,TDR126,36303344,36303610
or106-3,TDR126,36322055,36322338
or106-2,TDR126,36327854,36328181
or105-1,TDR126,36345281,36346080
or104-2,TDR126,36346991,36348562
or104-1,TDR126,36354587,36354854
or104-1,TDR126,36355279,36356002
ubl3a,TDR126,36405717,36406580
uspl1,TDR126,36438886,36439596
alox5ap,TDR126,36457796,36458028
alox5ap,TDR126,36458233,36458605
nipblb,TDR126,36546151,36547929
slc1a3b,TDR126,36591081,36591648
slc1a3b,TDR126,36592366,36592707
ucp3,TDR126,36650007,36650251
ucp2,TDR126,36662179,36663430
dnajb13,TDR126,36681597,36682619
dnajb13,TDR126,36683191,36683483
mrpl48,TDR126,36691257,36691805
rab6a,TDR126,36695035,36695956
dhrs13a.2,TDR126,36792361,36793568
dhrs13a.1,TDR126,36807259,36808238
cuedc1a,TDR126,37144797,37145268
msi2a,TDR126,37499739,37501058
bhlha9,TDR126,37926869,37927730
mir125b-3,TDR126,38051441,38051727
mir125b-3,TDR126,38052050,38053067
mir99-2,TDR126,38074191,38074425
usp25,TDR126,38242909,38243736
samsn1b,TDR126,38415859,38416800
samsn1b,TDR126,38417369,38418159
serpinh1a,TDR126,38511510,38512890
acer3,TDR126,38526062,38527042
mmp13a,TDR126,38592594,38592819
mmp13a,TDR126,38593056,38593255
mmp13a,TDR126,38593503,38593937
mmp30,TDR126,38643101,38643838
acat1,TDR126,38663494,38664503
tmprss2,TDR126,38707718,38707946
dscama,TDR126,38775146,38775940
