peak_id,gene_short_name
chr10_10309717_10310826,mir219-1
chr10_10312863_10313143,urm1
chr10_10330140_10330867,mir219-1
chr10_10606659_10607267,dbh
chr10_10728392_10729295,swi5
chr10_10738522_10739696,slc27a4
chr10_10788400_10788859,ptgdsa
chr10_10801486_10801812,ambp
chr10_10862845_10864553,nrarpa
chr10_109158_111189,pigp
chr10_10972186_10973065,cdc37l1
chr10_11011073_11012113,ak3
chr10_11037661_11038957,ugcg
chr10_11264123_11264371,hsdl2
chr10_11265148_11265825,hsdl2
chr10_11322807_11323272,inip
chr10_11323918_11324117,inip
chr10_11352540_11353242,lin54
chr10_11355721_11356256,cops4
chr10_11397264_11398261,srek1ip1
chr10_11767569_11767935,ppwd1
chr10_1179970_1180680,bmpr1bb
chr10_11839805_11840641,trim23
chr10_11841272_11841877,trim23
chr10_120313_120699,ripply3
chr10_1275306_1275937,pdlim5b
chr10_13000409_13001142,lpar1
chr10_13116033_13116277,musk
chr10_13178650_13179145,musk
chr10_13179416_13179615,musk
chr10_13209462_13209818,rassf6
chr10_13238881_13239479,si:busm1-57f23.1
chr10_13278872_13279385,tmem267
chr10_13283397_13283909,tmem267
chr10_13396222_13396886,LOC556326
chr10_13396222_13396886,il11ra
chr10_13397056_13397543,LOC556326
chr10_13771814_13773224,cntfr
chr10_1396715_1397359,gdnfa
chr10_14487735_14488763,galt
chr10_14487735_14488763,sigmar1
chr10_14499100_14499716,katnal2
chr10_14539931_14540720,hdhd2
chr10_14545284_14545728,ier3ip1
chr10_14677_15117,tiprl
chr10_14928813_14930376,smad2
chr10_15254847_15256180,vldlr
chr10_15339959_15341255,pum3
chr10_15339959_15341255,trappc13
chr10_15405006_15405618,sgtb
chr10_15408170_15408898,nln
chr10_15439_16413,tiprl
chr10_15454700_15456153,erbin
chr10_15602866_15603470,zfand5b
chr10_15644059_15645074,smc5
chr10_15854282_15855167,tjp2a
chr10_15879049_15879679,tjp2a
chr10_15880330_15880604,tjp2a
chr10_15919228_15919923,pip5k1ba
chr10_15954292_15954756,mir23b
chr10_15954292_15954756,mir27d
chr10_15960689_15961079,mir24-1
chr10_16027461_16028196,aldh7a1
chr10_16029031_16029449,phax
chr10_16035708_16036960,lmnb1
chr10_16164857_16165653,prrc1
chr10_16225272_16226506,slc12a2
chr10_1635957_1636554,nup155
chr10_16501309_16502194,slc27a6
chr10_16546699_16547569,isoc1
chr10_16592172_16593325,chsy3
chr10_1680970_1681948,triap1
chr10_168153_168366,erg
chr10_16868018_16868488,stoml2
chr10_1696222_1697203,srsf9
chr10_1697547_1698019,srsf9
chr10_17082815_17083773,fam166b
chr10_17159392_17159822,slc5a1
chr10_17160448_17160717,slc5a1
chr10_17168662_17170413,ywhah
chr10_1717196_1718537,si:ch73-46j18.5
chr10_17202586_17202989,nt5c2l1
chr10_17231928_17232704,rab36
chr10_17371588_17372942,sppl3
chr10_17453287_17453514,mir130c-1
chr10_17453287_17453514,mir301c
chr10_17454427_17455344,mir301c
chr10_17481607_17481901,nt5c2l1
chr10_17484168_17484917,nt5c2l1
chr10_17501386_17501717,slc2a11l
chr10_17550131_17551020,ska1
chr10_17587374_17587931,smarcad1b
chr10_17588623_17589013,smarcad1b
chr10_17680976_17681708,drg1
chr10_17694208_17694407,mir218b
chr10_17713834_17714053,slc20a1b
chr10_17714290_17714595,slc20a1b
chr10_17776734_17777170,ccl19b
chr10_17936124_17936947,prkab1a
chr10_1827024_1827788,epb41l4a
chr10_1849280_1849498,apc
chr10_187579_188780,ets2
chr10_18876968_18877663,ppp2r2ab
chr10_18910799_18911634,bnip3lb
chr10_18951921_18953466,dpysl2b
chr10_19016977_19017258,tmem230a
chr10_19524818_19526088,vsig8a
chr10_1961082_1961876,tdgf1
chr10_20069879_20070918,xpo7
chr10_20105510_20106289,pbdc1
chr10_20107460_20107769,dmtn
chr10_20108039_20108929,dmtn
chr10_20179923_20180515,ppp3ccb
chr10_20356364_20357078,sfrp1b
chr10_20357424_20357773,sfrp1b
chr10_20363159_20363412,golga7
chr10_20363876_20364530,golga7
chr10_20445236_20445452,loxl2a
chr10_20536474_20537699,plpp5
chr10_20638589_20639305,sprn2
chr10_20706040_20706290,kcnip3b
chr10_20706892_20707344,kcnip3b
chr10_210261_211049,psmg1
chr10_211249_212045,psmg1
chr10_213608_214064,mpzl1l
chr10_21361479_21362033,avd
chr10_21395056_21395925,trpc7a
chr10_21434488_21435539,etf1b
chr10_21444234_21445223,fbxw11b
chr10_21483808_21484953,fgf18b
chr10_21486702_21486976,fgf18b
