peak_id,gene_short_name
chr10_10294561_10295412,mir219-1
chr10_10309297_10310811,mir219-1
chr10_10312862_10313512,urm1
chr10_10318853_10319630,mir219-1
chr10_10320459_10321267,mir219-1
chr10_10330116_10330888,mir219-1
chr10_10333286_10333787,mir219-1
chr10_10348791_10350483,mir219-1
chr10_10606921_10607247,dbh
chr10_10728201_10729491,swi5
chr10_10738246_10739726,slc27a4
chr10_10788324_10788868,ptgdsa
chr10_10801158_10801839,ambp
chr10_10862484_10864560,nrarpa
chr10_109076_111196,pigp
chr10_10971906_10973134,cdc37l1
chr10_11010610_11012121,ak3
chr10_11036809_11039009,ugcg
chr10_11264115_11264661,hsdl2
chr10_11265135_11265911,hsdl2
chr10_11322170_11323332,inip
chr10_11324133_11324469,inip
chr10_11352526_11353241,lin54
chr10_11355554_11356594,cops4
chr10_11396965_11398433,cwc27
chr10_11396965_11398433,srek1ip1
chr10_11767559_11767978,ppwd1
chr10_1179819_1180810,bmpr1bb
chr10_11839772_11840843,trim23
chr10_11841232_11841447,trim23
chr10_119960_120715,ripply3
chr10_121320_121624,ripply3
chr10_1275196_1275939,pdlim5b
chr10_12955797_12956385,lpar1
chr10_12999758_12999983,lpar1
chr10_13000359_13001418,lpar1
chr10_13052001_13052562,musk
chr10_13066784_13067570,musk
chr10_13115934_13116340,musk
chr10_13153890_13155020,musk
chr10_13173721_13175667,musk
chr10_13178612_13179145,musk
chr10_13179590_13179878,musk
chr10_13205268_13205922,musk
chr10_13209009_13209889,rassf6
chr10_13238861_13239549,si:busm1-57f23.1
chr10_13245024_13245947,musk
chr10_13278423_13279727,tmem267
chr10_13283471_13283742,tmem267
chr10_13396074_13396958,LOC556326
chr10_13396074_13396958,il11ra
chr10_13397220_13397419,LOC556326
chr10_13771690_13773251,cntfr
chr10_1396708_1397499,gdnfa
chr10_14487560_14488958,galt
chr10_14487560_14488958,sigmar1
chr10_14498956_14499723,katnal2
chr10_14539912_14540916,hdhd2
chr10_14545145_14545956,ier3ip1
chr10_14546305_14546785,ier3ip1
chr10_14672_16797,tiprl
chr10_14928627_14930422,smad2
chr10_15106483_15107067,scpp8
chr10_15107622_15107846,scpp8
chr10_15128463_15128907,spp1
chr10_15253393_15254056,vldlr
chr10_15254538_15256228,vldlr
chr10_15339728_15341310,pum3
chr10_15339728_15341310,trappc13
chr10_15404853_15405653,sgtb
chr10_15408152_15409406,nln
chr10_15454704_15456218,erbin
chr10_15602577_15604976,zfand5b
chr10_15643742_15645100,smc5
chr10_15645731_15646034,smc5
chr10_15853062_15855216,tjp2a
chr10_15878742_15879706,tjp2a
chr10_15880203_15880541,tjp2a
chr10_15919096_15919969,pip5k1ba
chr10_15954038_15954834,mir23b
chr10_15954038_15954834,mir27d
chr10_15959787_15960352,mir24-1
chr10_15960678_15961072,mir24-1
chr10_16027363_16028191,aldh7a1
chr10_16028908_16029516,aldh7a1
chr10_16028908_16029516,phax
chr10_16035705_16037791,lmnb1
chr10_16164676_16166272,prrc1
chr10_16225250_16227013,slc12a2
chr10_1635919_1636553,nup155
chr10_16500596_16500839,slc27a6
