peak_id,gene_short_name
chr10_10310069_10310808,mir219-1
chr10_10312861_10313479,urm1
chr10_10318867_10319654,mir219-1
chr10_10326182_10326642,mir219-1
chr10_10330100_10330858,mir219-1
chr10_10333217_10333773,mir219-1
chr10_10339387_10339829,mir219-1
chr10_10606639_10607089,dbh
chr10_10728383_10729337,swi5
chr10_10738234_10739715,slc27a4
chr10_10788286_10788851,ptgdsa
chr10_10801284_10801828,ambp
chr10_10862813_10864559,nrarpa
chr10_109031_111179,pigp
chr10_10972164_10973108,cdc37l1
chr10_11010638_11012124,ak3
chr10_11036703_11039003,ugcg
chr10_11264120_11264494,hsdl2
chr10_11265143_11265903,hsdl2
chr10_11322190_11323332,inip
chr10_11352530_11353230,lin54
chr10_11355573_11356434,cops4
chr10_11396959_11398410,cwc27
chr10_11396959_11398410,srek1ip1
chr10_11767567_11767932,ppwd1
chr10_1179874_1180855,bmpr1bb
chr10_11839804_11840849,trim23
chr10_11841213_11841432,trim23
chr10_119951_120724,ripply3
chr10_121326_121568,ripply3
chr10_1275264_1275939,pdlim5b
chr10_12949432_12950134,lpar1
chr10_12955818_12956365,lpar1
chr10_12999737_12999988,lpar1
chr10_13000383_13001149,lpar1
chr10_13115972_13116350,musk
chr10_13178630_13179078,musk
chr10_13209031_13209252,rassf6
chr10_13209453_13209827,rassf6
chr10_13238874_13239500,si:busm1-57f23.1
chr10_13278532_13279577,tmem267
chr10_13283348_13283747,tmem267
chr10_13396062_13396995,LOC556326
chr10_13396062_13396995,il11ra
chr10_13397221_13397539,LOC556326
chr10_13771736_13773240,cntfr
chr10_1396708_1397377,gdnfa
chr10_14487581_14488911,galt
chr10_14487581_14488911,sigmar1
chr10_14499081_14499716,katnal2
chr10_14539912_14540779,hdhd2
chr10_14545172_14545774,ier3ip1
chr10_14677_15119,tiprl
chr10_14928776_14930411,smad2
chr10_15106479_15107315,scpp8
chr10_15107570_15107991,scpp8
chr10_15128674_15128916,spp1
chr10_15129576_15130138,spp1
chr10_15254598_15256142,vldlr
chr10_15339708_15341301,pum3
chr10_15339708_15341301,trappc13
chr10_15339_16750,tiprl
chr10_15404852_15405644,sgtb
chr10_15408083_15408918,nln
chr10_15454714_15456217,erbin
chr10_15602632_15604990,zfand5b
chr10_15644046_15645081,smc5
chr10_15853845_15855189,tjp2a
chr10_15878864_15879707,tjp2a
chr10_15880281_15880561,tjp2a
